Species,BranchLength,PercOfMiss,Position
Aedes_albopictus_GCA_001444175,1.54212649,91.411782,Outgroup
Agrilus_planipennis_GCA_000699045,1.337589882,85.985445,Outgroup
Blattella_germanica_GCA_000762945,0.648894535,71.223446,Outgroup
Homalodisca_vitripennis_GCA_000696855,1.202291365,80.342742,Outgroup
Papilio_glauca_GCA_000931545,1.007484148,90.034913,Outgroup
Pediculus_humanus_corporis_GCA_000006295,1.555322076,86.91729,Outgroup
Abia_lonicerae_USNMENT01322220,0.092199609,17.159225,Ingroup
Ablerus_sp1_USNMENT01231208,0.113280286,47.447876,Ingroup
Absyrtus_sp_BS_UCE_Ich386,0.037198437,32.528521,Ingroup
Acanthaegilips_brasiliensis_USNMENT01339636,0.018897519,7.117919,Ingroup
Acanthocaudus_bicolor_USNMENT01322505,0.016585401,25.100806,Ingroup
Acanthochalcis_nigricans_USNMENT01322190,0.053501032,14.648899,Ingroup
Acerophagus_sp1_USNMENT01231200,0.132615529,14.041601,Ingroup
Aceroteta_sp_USNMENT01197068,0.084781474,26.740755,Ingroup
Aclista_sp_USNMENT01322344,0.012645537,55.136212,Ingroup
Acordulecera_pellucida_USNMENT01322225,0.113978311,46.506196,Ingroup
Acraspis_villosa_USNMENT01322264,0.012484166,75.612215,Ingroup
Acrisis_sp1_USNMENT01322601,0.030343264,33.947187,Ingroup
Acrolyta_sp_BS_UCE_Ich122,0.020957265,41.578973,Ingroup
Acrotaphus_wiltii_BS_UCE_Ich319,0.024426913,8.575924,Ingroup
Adelius_sp_nr_fasciipennis_USNMENT01322246,0.060802789,30.040323,Ingroup
Adelognathus_sp_BS_UCE_Ich181,0.07106598,68.157455,Ingroup
Ademon_sp1_USNMENT01322504,0.026499731,9.874115,Ingroup
Adialytus_sp1_USNMENT01322467,0.018623102,52.751279,Ingroup
Aegilips_chilensis_USNMENT01339639,0.004768981,6.64585,Ingroup
Aegilips_sp3_USNMENT01339647,0.005358993,9.232396,Ingroup
Afroserphus_masneri_USNMENT00896672,0.078496583,13.74164,Ingroup
Agapostemon_tyleri_BND222,0.016884186,14.658733,Ingroup
Agathis_sp1_USNMENT01322249,0.02319385,49.28452,Ingroup
Agonocryptus_brevicauda_BS_UCE_Ich581,0.004504026,31.377852,Ingroup
Agonocryptus_physocnemis_BS_UCE_Ich001,0.003178831,18.073859,Ingroup
Agriotypus_armatus_BS_UCE_Ich182,0.052444652,71.55537,Ingroup
Aiolomorphus_rhopaloides_USNMENT01322045,0.011834148,26.143293,Ingroup
Alabagrus_sp3_USNMENT01322247,0.02406877,27.222659,Ingroup
Aleiodes_sp1_USNMENT01322233,0.039449736,10.304386,Ingroup
Alfredella_sp_USNMENT01197967,0.051897357,24.328777,Ingroup
