Species,BranchLength,PercOfMiss,Position
Ampulex_compressa_CUICBND1382,0.209428492,87.54521,Outgroup
Apis_mellifera_CUIC000115660,0.138608443,48.994434,Outgroup
Brachycistis_timberlakei_CASENT0106315,0.190750919,48.772944,Outgroup
Chrysis_sp_USNMENT01248288,0.382871327,66.287614,Outgroup
Chyphotes_sp_CASENT0501449,0.230905055,54.204146,Outgroup
Dasypoda_visnaga_CUICBND977,0.164728455,88.18206,Outgroup
Evagetes_parvus_RA0386atMCZ,0.089363699,64.310618,Outgroup
Heterogyna_nocticola_CUICBND1290,0.178704003,90.650504,Outgroup
Mischocyttarus_flavitarsis_CASENT0106320,0.097433079,53.440396,Outgroup
Pepsis_grossa_CASENT0106314,0.075482058,59.177515,Outgroup
Sceliphron_caementarium_CASENT0106321,0.190739224,93.26878,Outgroup
Vespula_germanica_RA0385atMCZ,0.041702587,50.963874,Outgroup
Acanthognathus_ocellatus_CASENT0636076,0.062778702,16.727207,Ingroup
Acanthomyrmex_sp_FMNHINS0003471823,0.046869809,16.635224,Ingroup
Acanthoponera_minor_CASENT0633283,0.031815715,13.297495,Ingroup
Acanthostichus_serratulus_CASENT0732042,0.038374345,17.141785,Ingroup
Acromyrmex_octospinosus_FMNHINS0003145509,0.005966375,23.362275,Ingroup
Acropyga_sp_FMNHINS0003471605,0.030024445,14.441428,Ingroup
Adelomyrmex_longinoi_CASENT0634310,0.061575323,18.611959,Ingroup
Adetomyrma_caputleae_CASENT0500384,0.052806506,25.822902,Ingroup
Adlerzia_froggatti_CASENT0227591,0.018610169,15.40009,Ingroup
Aenictogiton_sp_CUIC000002024,0.071273394,25.979769,Ingroup
Aenictus_sp_FMNHINS0003471835,0.07670077,23.569433,Ingroup
Agraulomyrmex_tz01_CASENT0217051,0.026271927,92.400017,Ingroup
Allomerus_octoarticulatus_FMNHINS0003145672,0.008936805,16.881729,Ingroup
Amblyopone_sp_FMNHINS0003471760,0.027474009,19.846051,Ingroup
Amoimyrmex_striatus_USNMENT00924113,0.013759781,88.781126,Ingroup
Ancyridris_polyrhachioides_CASENT0106303,0.006053545,21.930145,Ingroup
Aneuretus_simoni_RA0258atMCZ,0.066548898,18.960611,Ingroup
Anillomyrma_sp_CUIC000002091,0.015622392,30.058317,Ingroup
Anochetus_mayri_FMNHINS0003165063,0.030744532,13.645887,Ingroup
Anonychomyrma_gilberti_FMNHINS0003145264,0.008834605,16.686818,Ingroup
Anoplolepis_gracilipes_FMNHINS0003471834,0.040402572,22.881511,Ingroup
Aphaenogaster_pythia_FMNHINS0003145019,0.02791979,16.669359,Ingroup
Aphomomyrmex_afer_CASENT0217049,0.00980691,79.955129,Ingroup
Apomyrma_stygia_RA0120atMCZ,0.150262687,45.776832,Ingroup
Apterostigma_sp_FMNHINS0003145668,0.049059825,15.035543,Ingroup
Aretidris_buenaventei_CASENT0106232,0.033805759,17.666847,Ingroup
Atopomyrmex_mocquerysi_FMNHINS0003471580,0.051140369,17.161328,Ingroup
Atta_cephalotes_FMNHINS0003145587,0.017087551,17.178787,Ingroup
Axinidris_lignicola_RA0253atMCZ,0.043875192,44.73244,Ingroup
Azteca_trigona_FMNHINS0003165069,0.042572201,23.321625,Ingroup
Bajcaridris_theryi_CASENT0235255,0.023273656,90.089222,Ingroup
Basiceros_manni_INB0003621345,0.026260286,16.162537,Ingroup
Blepharidatta_brasiliensis_USNMENT00439550,0.029756427,93.145266,Ingroup
Bothriomyrmex_meridionalis_RA0342atMCZ,0.035471459,21.382933,Ingroup
Bothroponera_sp_FMNHINS0003471536,0.045511236,15.320353,Ingroup
Brachymyrmex_depilis_CASENT0106038,0.051663189,87.480066,Ingroup
Brachyponera_sennaarensis_FMNHINS0003165604,0.02889763,14.66839,Ingroup
Calomyrmex_sp_FMNHINS0003145024,0.010050229,15.807632,Ingroup
Calyptomyrmex_sp_CUIC000115661,0.050413676,40.940787,Ingroup
Camponotus_floridanus_FMNHINS0003145311,0.013610057,18.537956,Ingroup
Cardiocondyla_emeryi_FMNHINS0003145316,0.093838705,24.380348,Ingroup
Carebara_affinis_FMNHINS0003471657,0.03992465,18.133019,Ingroup
Cataglyphis_iberica_RA0387atMCZ,0.009864792,16.704016,Ingroup
Cataulacus_sp_FMNHINS0003165593,0.062060843,16.98127,Ingroup
Centromyrmex_brachycola_CUIC000008876,0.052884215,13.423875,Ingroup
Cephalotes_varians_FMNHINS0003144775,0.031932765,14.679074,Ingroup
Cerapachys_antennatus_CASENT0384548,0.050189367,18.09263,Ingroup
Cheliomyrmex_megalonyx_CASENT0732024,0.029756414,19.688923,Ingroup
Chrysapace_cf_jacobsoni_CASENT0391566,0.059622306,19.308221,Ingroup
Cladomyrma_petalae_CASENT0235222,0.048991211,63.192743,Ingroup
Colobopsis_obliqua_FMNHINS0003145306,0.026229358,19.816345,Ingroup
Colobostruma_sp_RA0376atMCZ,0.008228114,16.052835,Ingroup
Crematogaster_ashmeadi_FMNHINS0003145329,0.043076501,15.487122,Ingroup
Cryptopone_butteli_CASENT0635385,0.057697689,16.662063,Ingroup
Cyatta_abscondita_USNMENT00693058,0.021463083,93.152302,Ingroup
Cylindromyrmex_darlingtoni_CASENT0756069,0.051053048,20.61345,Ingroup
Cyphoidris_exalta_CASENT0405993,0.046214077,16.263902,Ingroup
Cyphomyrmex_minutus_FMNHINS0003144816,0.031498324,16.546888,Ingroup
Dacatria_templaris_CASENT0235148,0.021084614,15.966323,Ingroup
Dacetinops_sp_CUIC000115662,0.030856758,21.052001,Ingroup
Daceton_armigerum_FMNHINS0003165241,0.044151818,13.632597,Ingroup
Diacamma_sp_FMNHINS0003165527,0.045720361,16.443439,Ingroup
Dicroaspis_km01_CASENT0145951,0.04085907,16.297777,Ingroup
Dilobocondyla_sp_RA0395atMCZ,0.043563595,17.490437,Ingroup
Dinomyrmex_gigas_FMNHINS0003471788,0.019128431,23.17492,Ingroup
Dinoponera_quadriceps_RA0996atMCZ,0.025197265,17.35624,Ingroup
Diplomorium_longipenne_CASENT0217046,0.021636781,14.931833,Ingroup
Discothyrea_horni_CASENT0636089,0.111251078,20.949594,Ingroup
Dolichoderus_bispinosus_FMNHINS0003165075,0.044750755,21.920764,Ingroup
Dolopomyrmex_pilatus_RA0719atMCZ,0.066645715,41.662324,Ingroup
Dorylus_sp_FMNHINS0003471567,0.068069903,22.28479,Ingroup
Dorymyrmex_bureni_FMNHINS0003145346,0.025517238,20.960799,Ingroup
Eburopone_sp_CASENT0732012,0.057885585,16.55679,Ingroup
Echinopla_australis_FMNHINS0003471654,0.009192947,15.660927,Ingroup
Eciton_burchellii_FMNHINS0003471851,0.013455982,24.794144,Ingroup
Ectatomma_tuberculatum_FMNHINS0003165706,0.035990827,15.488425,Ingroup
Ectomomyrmex_sp_CUIC000115663,0.037054794,16.155241,Ingroup
Epopostruma_quadrispinosa_group_CASENT0625856,0.010128341,92.630367,Ingroup
Euprenolepis_sp_FMNHINS0003471830,0.017884531,19.082822,Ingroup
Eurhopalothrix_procera_FMNHINS0003471708,0.043460693,17.515973,Ingroup
Eusphinctus_sp_CASENT0285681,0.047903562,20.286947,Ingroup
Eutetramorium_mocquerysi_RA0321atMCZ,0.027061622,81.746334,Ingroup
Forelius_maranhaoensis_VOUCHER1308,0.035468291,28.730678,Ingroup
Formica_occulta_FMNHINS0003471213,0.004819967,15.568943,Ingroup
