Species,BranchLength,PercOfMiss,Position
ANT_Anthomyia_procellaris,0.067958901,56.829279,Outgroup
ANT_Hylemya_alcathoe,0.082282211,35.690271,Outgroup
ANT_Leucophora_maculata,0.068744029,57.008193,Outgroup
FAN_Euryomma_sp,0.089239303,61.263726,Outgroup
FAN_Fannia_sp1,0.116852554,75.165681,Outgroup
FAN_Fannia_sp2,0.04951611,79.90279,Outgroup
SCA_Scathophaga_stercolaria,0.115147376,33.819133,Outgroup
CAL_Ben_Bengalia_sp,0.088699861,25.468716,Ingroup
CAL_Cal_Bellardia_viarum,0.011008987,96.10453,Ingroup
CAL_Cal_Calliphora_sp,0.027086746,45.184989,Ingroup
CAL_Cal_Pericallimyia_io,0.04283566,99.089405,Ingroup
CAL_Chr_Chloroprocta_idioidea,0.03864473,16.813401,Ingroup
CAL_Chr_Chrysomya_megacephala,0.041246346,23.944224,Ingroup
CAL_Chr_Chrysomya_rufifacies,0.056383666,15.637417,Ingroup
CAL_Chr_Cochliomyia_macellaria,0.053909848,21.604556,Ingroup
CAL_Chr_Compsomyiops_callipes,0.030459646,15.410793,Ingroup
CAL_Chr_Hemilucilia_segmentaria,0.006526054,19.157541,Ingroup
CAL_Chr_Hemilucilia_semidiaphana,0.006891236,21.442789,Ingroup
CAL_Chr_Paralucilia_sp,0.02933723,20.016326,Ingroup
CAL_Chr_Phormia_regina,0.035655749,85.738354,Ingroup
CAL_Chr_Protocalliphora_sp,0.03628497,29.519617,Ingroup
CAL_Luc_Lucilia_sp1,0.013947598,26.896297,Ingroup
CAL_Luc_Lucilia_sp2,0.015133967,31.673662,Ingroup
CAL_Mel_Melanomya_nana,0.05218515,22.336984,Ingroup
CAL_Mel_Melinda_viridicyanea,0.041268187,95.621836,Ingroup
CAL_Phu_Phumosia_sp,0.096737041,42.741701,Ingroup
CAL_Pol_Pollenia_rudis,0.097602789,56.380132,Ingroup
CAL_Tox_Sarconesia_versicolor,0.055582146,95.682965,Ingroup
MES_Laneella_sp,0.026088489,96.415393,Ingroup
MES_Mesembrinella_batesi,0.027116193,34.199325,Ingroup
MES_Mesembrinella_flavicrura,0.026634815,30.987826,Ingroup
MES_Mesembrinella_spicata,0.020695067,42.601552,Ingroup
OES_Cut_Cuterebra_fontinella,0.00745282,91.806878,Ingroup
OES_Cut_Cuterebra_sp,0.007419363,31.688571,Ingroup
OES_Cut_Dermatobia_hominis,0.049215764,94.10629,Ingroup
OES_Hyp_Hypoderma_tarandi,0.198230586,98.93621,Ingroup
OES_Oes_Cephenemyia_sp,0.037436028,27.167277,Ingroup
OES_Oes_Oestrus_ovis,0.065436158,48.689831,Ingroup
RHINI_Cos_Cosmina_fuscipennis,0.02102253,61.335291,Ingroup
RHINI_Cos_Cosmina_sp,0.024315271,65.183051,Ingroup
RHINI_Cos_Eurhyncomyia_diversicolor,0.028560669,50.137167,Ingroup
RHINI_Cos_Isomyia_nataliensis,0.033614041,58.549458,Ingroup
RHINI_Cos_Isomyia_pubera,0.038826259,68.81686,Ingroup
RHINI_Cos_Isomyia_tristis,0.030186221,33.120252,Ingroup
RHINI_Cos_Rhyncomya_dasyops,0.02474665,50.484558,Ingroup
RHINI_Cos_Rhyncomya_minutalis,0.022364295,29.259447,Ingroup
RHINI_Cos_Rhyncomya_soyauxi,0.02582298,30.898742,Ingroup
RHINI_Cos_Sumatria_rufithorax,0.027293155,87.475306,Ingroup
RHINI_Cos_Sumatria_vittigera,0.016441428,68.028522,Ingroup
RHINI_Cos_Villeneuviella_seguyi,0.083348994,98.947019,Ingroup
RHINI_Rhi_Fainia_albitarsis,0.034126698,30.185697,Ingroup
RHINI_Rhi_Genus_Unknown_sp,0.046719104,25.500026,Ingroup
