Species,BranchLength,PercOfMiss,Position
Aplogompha_lafayi_FLAJ145,0.076721638,77.121671,Outgroup
Aplogompha_sp_FLAJ101,0.058790031,29.206971,Outgroup
Argyrotome_alba_FLAJ90,0.059123273,20.486777,Ingroup
Argyrotome_arcuata_FLAJ46,0.042845866,71.071898,Ingroup
Argyrotome_cf_arcuata_FLAJ102,0.020676934,62.45418,Ingroup
Argyrotome_cf_mira_FLAJ91,0.003097052,19.673018,Ingroup
Argyrotome_cf_prospectata_FLAJ95,0.003042767,15.005829,Ingroup
Argyrotome_ferruginea_FLAJ136,0.018465646,51.955609,Ingroup
Argyrotome_melae_FLAJ59,0.015250481,29.516415,Ingroup
Argyrotome_melae_FLAJ61,0.015155733,22.520168,Ingroup
Argyrotome_mexicaria_FLAJ96,0.006688826,30.975268,Ingroup
Argyrotome_mira_FLAJ76,0.003404959,16.247635,Ingroup
Argyrotome_prospectata_FLAJ94,0.018583963,9.852804,Ingroup
Argyrotome_tenebrosa_FLAJ141,0.089450758,74.394804,Ingroup
Iridopsis_defectaria_FLAJ109,0.243176526,28.445626,Outgroup
Lomographa_sp_FLAJ92,0.04854256,21.259546,Outgroup
Lomographa_sp_FLAJ93,0.050504676,26.747886,Outgroup
Ophthalmoblysis_croesus_FLAJ34,0.158695971,86.184907,Ingroup
Ophthalmoblysis_ibarrai_FLAJ82,0.104234625,26.600052,Ingroup
Ophthalmoblysis_lydius_FLAJ35,0.126802309,79.539766,Ingroup
Opisthoxia_amphiaria_FLAJ18,0.025914166,70.882065,Ingroup
Opisthoxia_amphiaria_FLAJ19,0.015309871,60.412726,Ingroup
Opisthoxia_asopis_FLAJ50,0.004331293,10.798942,Ingroup
Opisthoxia_bracteata_FLAJ26,0.01472459,27.908719,Ingroup
Opisthoxia_cassandra_FLAJ51,0.003405347,17.838196,Ingroup
Opisthoxia_cf_bella_FLAJ99,0.012482979,45.513068,Ingroup
Opisthoxia_cf_boliviari_FLAJ22,0.019838598,66.555903,Ingroup
Opisthoxia_cf_boliviari_FLAJ98,0.003432668,29.054769,Ingroup
Opisthoxia_cf_mononaria_FLAJ100,0.00241349,24.564645,Ingroup
Opisthoxia_cf_mononaria_FLAJ62,0.004174314,21.108688,Ingroup
Opisthoxia_cf_trimaculata_FLAJ29,0.007453689,12.86022,Ingroup
Opisthoxia_claudiaria_FLAJ115,0.128985226,82.335173,Ingroup
Opisthoxia_claudiaria_FLAJ24,0.012558169,15.401957,Ingroup
Opisthoxia_contariata_FLAJ131,0.022624525,57.031358,Ingroup
Opisthoxia_corinnaria_FLAJ110,0.037388238,61.345088,Ingroup
Opisthoxia_danaeata_FLAJ27,0.077680143,62.754216,Ingroup
Opisthoxia_danaeata_FLAJ37,0.082791603,62.627885,Ingroup
Opisthoxia_dora_FLAJ17,0.078045429,69.948359,Ingroup
Opisthoxia_eusiraria_FLAJ97,0.027693763,15.018261,Ingroup
Opisthoxia_formosante_FLAJ117,0.097145133,79.642914,Ingroup
Opisthoxia_formosante_FLAJ54,0.005432407,13.886322,Ingroup
Opisthoxia_hybridata_FLAJ79,0.016157138,18.002157,Ingroup
Opisthoxia_metargyria_FLAJ133,0.014123151,46.315404,Ingroup
Opisthoxia_metargyria_FLAJ77,0.005275378,19.605485,Ingroup
Opisthoxia_miletia_FLAJ48,0.020758445,5.747721,Ingroup
Opisthoxia_nr_uncinata_FLAJ146,0.03296159,31.968108,Ingroup
Opisthoxia_salubaea_FLAJ52,0.044992212,18.901929,Ingroup
Opisthoxia_saturniaria_FLAJ80,0.032037825,56.612382,Ingroup
Opisthoxia_sp_FLAJ63,0.017287061,13.790566,Ingroup
Opisthoxia_uncinata_FLAJ55,0.040791458,8.293491,Ingroup
Opisthoxia_vitenaria_FLAJ58,0.044613572,7.891651,Ingroup
Palyas_divitaria_FLAJ118,0.203671336,79.481976,Ingroup
Palyas_micaceraria_FLAJ89,0.026550344,21.409396,Ingroup
Palyas_pallicosta_FLAJ119,0.047028529,75.992756,Ingroup
Phrygionis_auriferaria_FLAJ83,0.004259162,41.597145,Ingroup
Phrygionis_auriferaria_FLAJ84,0.003405795,32.518454,Ingroup
Phrygionis_cf_polita_FLAJ70,0.009574978,28.901895,Ingroup
Phrygionis_cf_polita_FLAJ78,0.009805077,20.198165,Ingroup
Phrygionis_dominica_FLAJ122,0.015363815,19.995901,Ingroup
Phrygionis_paradoxata_FLAJ04,0.009243252,30.728318,Ingroup
Phrygionis_paradoxata_FLAJ124,0.02460404,51.893452,Ingroup
Phrygionis_platinata_FLAJ02,0.022915586,64.093794,Ingroup
Phrygionis_platinata_FLAJ86,0.015549325,8.519274,Ingroup
Phrygionis_platinata_platinata_FLAJ107,0.076153856,75.55463,Ingroup
Phrygionis_polita_FLAJ07,0.016361188,10.60239,Ingroup
Phrygionis_privignaria_FLAJ57,0.007313228,21.466178,Ingroup
Phrygionis_privignaria_FLAJ67,0.006483848,23.451186,Ingroup
Pityeja_histrionaria_FLAJ88,0.098164325,25.282313,Ingroup
Pityeja_nazada_FLAJ87,0.098405975,32.738525,Ingroup
Plutodes_costatus_FLAJ150,0.002161876,14.502522,Outgroup
Plutodes_costatus_FLAJ151,0.014678591,28.604547,Outgroup
Tasta_micaceata_FLAJ148,0.023932862,50.733963,Outgroup
Tasta_micaceata_FLAJ149,0.022470845,14.432636,Outgroup
