Species,BranchLength,PercOfMiss,Position
lathrobium_brunnipes,0.30307589,19.111094,Outgroup
paederus_litocharis,0.374304261,69.879017,Outgroup
AKH03_L2_S2,0.1262824,95.143572,Ingroup
AKH04_L1_S3,0.057819756,87.141837,Ingroup
AKH05_L2_S21,0.082598557,86.844308,Ingroup
AKH06_L1_S22,0.172987026,75.229281,Ingroup
AKH58_L1_S59,0.171569437,38.964476,Ingroup
AM0001_L1_S1,0.060064273,25.307936,Ingroup
AM0004_L1_S41,0.056955488,19.978266,Ingroup
AM0005_L1_S11,0.080373245,25.888972,Ingroup
AM0009_L1_S9,0.066810133,52.500515,Ingroup
AM0010_L1_S3,0.043907018,53.598612,Ingroup
AM0011_L1_S31,0.030471226,91.741487,Ingroup
AM0016_L1_S41,0.026002529,31.537204,Ingroup
AM0017_L1_S1,0.005365324,21.71524,Ingroup
AM0018_L1_S1,0.017559414,21.136395,Ingroup
AM0020_L1_S12,0.006799151,18.839856,Ingroup
AM0024_Cl_S1,0.025530819,26.015608,Ingroup
AM0028_L1_S23,0.031565343,23.634499,Ingroup
AM0029_L1_S33,0.124928428,19.951975,Ingroup
AM0040_L1_S11,0.072876365,65.00287,Ingroup
AM0049_L1_S2,0.020201568,20.5742,Ingroup
AM0051_L1_S11,0.008893299,30.627528,Ingroup
AM0054_L1_S1,0.112109393,22.620973,Ingroup
AM0055_L1_S15,0.103375782,54.849198,Ingroup
AM0062_L1_S22,0.013815684,24.644959,Ingroup
AM0067_L1_S4,0.112617931,15.050413,Ingroup
AM0071_L1_S3,0.130777237,17.49725,Ingroup
AM0072_A_S4,0.019242413,52.111843,Ingroup
AM0073_L1_S24,0.046184035,22.587232,Ingroup
AM0084_L1_S13,0.154918975,80.825369,Ingroup
AM0088_L1_S22_L1_S4,0.019887826,76.522372,Ingroup
AM0091_L1_S16,0.030379305,87.709289,Ingroup
AM0100_L1_S7,0.006232989,20.219707,Ingroup
AM0101_L1_S8,0.081599905,62.849619,Ingroup
AM0108_L1_S5,0.032158431,85.549465,Ingroup
AM0121_L1_S28,0.147252086,72.527858,Ingroup
AM0128_L1_S16,0.067384929,22.568828,Ingroup
AM0130_L1_S17,0.091819393,16.92936,Ingroup
AM0136_L1_S5,0.013792106,25.735168,Ingroup
AM0137_L1_S9,0.18451163,16.178307,Ingroup
AM0140_L1_S28,0.079593816,23.603826,Ingroup
AM0141_L1_S29,0.184915655,25.398641,Ingroup
AM0142_L1_S37,0.101782013,30.886058,Ingroup
AM0144_L1_S18,0.083379004,23.974094,Ingroup
AM0145_L1_S38,0.097764515,29.95009,Ingroup
AM0147_L1_S5,0.098004035,87.065154,Ingroup
AM0150_L1_S23,0.074826196,24.650655,Ingroup
AM0164_L2_S40,0.00711414,87.286,Ingroup
AM0165_L1_S6,0.038475838,91.449654,Ingroup
AM0167_L1_S10,0.084129153,32.481059,Ingroup
AM0168_L1_S19,0.07582236,20.963311,Ingroup
AM0170_L1_S30,0.051488967,23.43863,Ingroup
AM0173_L1_S14_L1_S9,0.107599582,66.742911,Ingroup
AM0178_L1_S48,0.04560551,30.417636,Ingroup
AM0182_L1_S7,0.105786535,46.096848,Ingroup
AM0193a_L1_S8,0.172001242,30.790972,Ingroup
AM0194_L1_S20,0.048982391,87.988853,Ingroup
AM0195_L1_S40,0.04087985,83.564915,Ingroup
AM0196_L1_S40,0.009160644,32.190541,Ingroup
AM0196a_L1_S6,0.317097495,76.446565,Ingroup
AM0198_L1_S27_L1_S11,0.048184929,69.625306,Ingroup
AM0201_S3,0.276468195,27.522096,Ingroup
AM0202_S29,0.003014163,25.934105,Ingroup
AM0203_S30,0.004003981,23.31769,Ingroup
AM0205_S11,0.349359057,79.658477,Ingroup
AM0206_S2,0.207125271,13.865555,Ingroup
AM0207_S8,0.185748975,31.532384,Ingroup
AM0208_S9,0.189957418,21.51937,Ingroup
AM0209_S3,0.256188102,23.068362,Ingroup
AM0210_S10,0.402392444,27.601407,Ingroup
AM192a_L2_S43,0.20392092,91.578482,Ingroup
AM194a_L2_S9,0.157831889,29.314719,Ingroup
AM204_L2_S20,0.056962466,34.945862,Ingroup
diochus_sp,0.418720484,62.302323,Ingroup
ENT120_AKH30,0.185959291,74.455881,Ingroup
ENT121_L1_S14,0.136322702,48.066499,Ingroup
ENT128_L1_S2,0.138249556,75.750286,Ingroup
ENT129_L1_S3,0.075922102,36.615793,Ingroup
ENT130_L1_S4,0.099569162,41.62953,Ingroup
ENT131_L1_S5,0.107530391,44.121501,Ingroup
ENT132_L1_S6,0.097526513,51.143011,Ingroup
ENT133_L1_S4,0.07930398,34.771025,Ingroup
ENT134_L1_S1,0.065151076,31.220833,Ingroup
ENT135_L1_S19,0.094352137,36.546121,Ingroup
ENT138_L1_S8,0.031102998,34.382353,Ingroup
ENT139_L1_S5,0.035668106,35.043578,Ingroup
ENT141_L1_S9,0.084086803,33.474868,Ingroup
ENT161_L1_S15,0.081258819,23.892153,Ingroup
ENT184_L1_S15,0.077008557,47.317637,Ingroup
ENT217_L1_S14,0.058093431,30.832599,Ingroup
ENT247_L1_S31,0.192082109,36.115383,Ingroup
ENT256_L1_S25,0.217844942,51.040914,Ingroup
ENT83_L1_S22,0.149781926,80.847279,Ingroup
ENT84_AKH02,0.112226731,84.294497,Ingroup
ENT85_L1_S24,0.066302433,46.081512,Ingroup
JDL71_S9,0.117673257,81.001959,Ingroup
othius_punctulatus,0.161856991,50.827516,Ingroup
philonthus_decorus,0.253466252,43.162747,Ingroup
quedius_fuliginosus,0.070161853,64.395543,Ingroup
