Species,BranchLength,PercOfMiss,Position
Acanthoscurria_geniculata,0.327263382,57.116588,Outgroup
Allagelena_difficilis_JXZ592a,0.078204089,60.04995,Ingroup
Anahita_fauna_ZYL195a,0.06483166,29.915894,Ingroup
Anelosimus_studiosus,0.210677293,19.29657,Outgroup
Araneus_ventricosus,0.037436334,21.740498,Outgroup
Argiope_bruennichi,0.052886328,16.204845,Outgroup
Argyroneta_aquatica,0.137660394,8.159394,Ingroup
Attulus_fasciger_JXZ416,0.012291303,5.355012,Ingroup
Attulus_sinensis_JXZ421,0.015537299,13.319074,Ingroup
Calommata_signata_JXZ606,0.402359877,76.015665,Outgroup
Cheiracanthium_taegense_ZYL137,0.019920719,18.875626,Ingroup
Chericanthium_insigne_ZYL082,0.019752569,4.839299,Ingroup
Clubiona_pseudogermanica_YCH205,0.062797108,7.95075,Ingroup
Corythalia_opima_JXZ418,0.042730836,19.109307,Ingroup
Dictyna_foliicola_ZYL194,0.406588579,60.291564,Ingroup
Dysdera_silvatica,0.439133781,62.580923,Outgroup
Evarcha_albaria_JXZ412,0.029568655,6.296703,Ingroup
Habronattus_ophrys_JXZ426,0.060466328,62.33593,Ingroup
Hahnia_zhejiangensis_ZYL162,0.276462337,32.844014,Ingroup
Hamadruas_sikkimensis_JXZ616,0.046083037,21.736635,Ingroup
Latrodectus_hesperus,0.211404081,39.410886,Outgroup
Loxosceles_reclusa,0.339007983,59.339595,Outgroup
Mallinella_zhui_ZYL190,0.199127877,25.926414,Ingroup
Maratus_sp_JXZ159a,0.025942959,14.79386,Ingroup
Marpissa_milleri_JXZ425,0.013010942,8.301548,Ingroup
Matidia_sp_ZYL148,0.065362487,22.097158,Ingroup
Mendoza_nobilis_JXZ419,0.012931771,8.393558,Ingroup
Myrmarachne_formicaria_JXZ414,0.080192191,10.610703,Ingroup
Orthobula_crucifera_JXZ601,0.194577041,30.907522,Ingroup
Ovia_alboannulata_JXZ610,0.019668186,13.800852,Ingroup
Oxyopes_sushilae_ZYL174,0.056032306,18.641048,Ingroup
Oxytate_parallela_ZYL156,0.057468067,36.717619,Ingroup
Parabathippus_shelfordi_JXZ417,0.03817035,51.568037,Ingroup
Parasteatoda_tepidariorum,0.204310045,11.315471,Outgroup
Pardosa_laura,0.014150885,9.512925,Ingroup
Pardosa_pseudoannulata,0.01283486,13.753261,Ingroup
Pholcus_manueli_JXZ600,0.455472168,66.393004,Outgroup
Pireneitega_luctuosa_ZYL167,0.05171357,28.133488,Ingroup
Pisaura_bicornis_ZYL165,0.073092781,48.951262,Ingroup
Plator_insolens_JXZ602b,0.056763937,24.161458,Ingroup
Plexippoides_regius_JXZ423,0.017092516,59.162196,Ingroup
Portia_heteroidea_JXZ415,0.029364551,4.006724,Ingroup
Rhomphaea_sp_JXZ609,0.253118307,35.817795,Outgroup
Sinopoda_sp_ZYL139,0.129350908,40.800903,Ingroup
Spartaeus_jaegeri_JXZ588,0.027180438,14.333188,Ingroup
Stegodyphus_dumicola,0.018054447,13.295554,Outgroup
Stegodyphus_mimosarum,0.015676975,10.903563,Outgroup
Synagelides_agoriformis_JXZ424,0.082319877,4.908273,Ingroup
Telamonia_caprina_JXZ569,0.028161368,14.866971,Ingroup
Tetragnatha_praedonia_JXZ594,0.363574467,64.924081,Outgroup
Thanatus_sp_YHD021,0.161733705,19.485211,Ingroup
Thiania_bhamoensis_JXZ591,0.043646503,41.442147,Ingroup
Trichonephila_clavata_JXZ596,0.027623715,52.465448,Outgroup
Trichonephila_clavipes,0.017103371,15.548151,Outgroup
Ummeliata_feminea_JXZ604,0.395758547,58.026138,Outgroup
Xysticus_kansuensis_ZYL191,0.052199006,52.183554,Ingroup
Zelotes_wuchangensis_ZYL173,0.083541073,21.991698,Ingroup
