Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Aedes_albopictus_GCA_001444175,91.411782,95,NA,NA
Neorhacodes_brevicauda_BS_UCE_Ich441,90.101298,96,100,100
Papilio_glauca_GCA_000931545,90.034913,84,94,94
Atrusca_bella_USNMENT00892683,87.991739,90,100,98
Tanaostigma_stanleyi_USNMENT01322081,87.677026,100,77,98
Pediculus_humanus_corporis_GCA_000006295,86.91729,84,94,94
Agrilus_planipennis_GCA_000699045,85.985445,95,NA,NA
Callirhytis_eldoradensis_USNMENT00893402,84.965087,86,86,100
Parahormius_sp1_USNMENT01322243,84.822482,100,100,99
Myrtopsen_mimosae_USNMENT01322134,81.658143,100,100,100
Neotheronia_sp_BS_UCE_Ich317,81.508163,100,98,96
Homalodisca_vitripennis_GCA_000696855,80.342742,94,NA,NA
Tanaostigmodes_albiclavus_USNMENT01322080,80.180468,100,77,98
Aranedra_sp2_USNMENT01322392,79.777242,100,100,100
Tylosema_dayae_USNMENT01322132,79.128147,76,49,61
Asobara_sp1_USNMENT01322533,79.110936,100,100,100
Microleptes_sp_BS_UCE_Ich196,78.919158,80,82,100
Ismarus_sp_USNMENT01197715,78.771637,100,100,100
Euceros_sp_BS_UCE_Ich191,77.507868,100,100,98
Cnecomymar_sp_USNMENT01322528,77.29642,100,100,100
Brachycyrtus_ornatus_BS_UCE_Ich187,76.804681,100,100,98
Cynips_plumbea_USNMENT01322300,76.027734,98,100,100
Proctotrupes_sp1_USNMENT01322351,75.993312,100,100,100
Acraspis_villosa_USNMENT01322264,75.612215,100,98,100
Spilomicrus_sp_USNMENT01322337,75.612215,100,100,100
Holocynips_hartmani_USNMENT01322321,75.137687,100,100,100
Phygadeuon_sp_BS_UCE_Ich140,73.175649,100,100,100
Entedon_ergias_USNMENT01322185,71.744689,100,100,100
Agriotypus_armatus_BS_UCE_Ich182,71.55537,100,99,80
Blattella_germanica_GCA_000762945,71.223446,NA,NA,NA
Neuroscelio_doddi_OSUC_0147252,71.078383,100,100,100
Codrus_sp_USNMENT01322353,70.741542,100,100,100
Cylloceria_melancholica_BS_UCE_Ich381,70.397325,79,100,99
Allophrys_n_sp_BS_UCE_Ich339,70.04819,100,86,52
Phanacis_sp_USNMENT00653613,69.67201,100,100,100
Trogomorpha_trogiformis_BS_UCE_Ich205,69.423682,100,100,100
Systasis_sp_USNMENT01322057,69.381884,99,77,98
Thyreodon_sp_BS_UCE_Ich383,68.939319,100,100,98
Polynema_near_needhami_USNMENT01322078,68.622148,100,100,100
Adelognathus_sp_BS_UCE_Ich181,68.157455,100,99,80
Binodoxys_sp1_USNMENT01322506,67.889457,100,100,100
Stilbops_vetulus_BS_UCE_Ich423,65.430763,100,52,100
Gatesina_colombiana_USNMENT01322373,64.553009,100,100,100
Dapsilarthra_spA_USNMENT01322536,63.921125,75,97,78
Klutiana_sp_BS_UCE_Ich388,61.858281,98,99,82
Cathilaria_opuntiae_USNMENT01322360,61.273112,100,100,100
Scutellista_caerulea_USNMENT01322102,61.265736,100,84,98
Endasys_sp_BS_UCE_Ich131,61.098544,82,100,98
Erythmelus_sp2_USNMENT01339651,61.096086,100,100,100
Microbembex_cubana_EX445,60.833006,100,100,97
Bruchophagus_squamea_USNMENT01322377,60.407651,98,100,100
Oxytorus_sp_BS_UCE_Ich366,60.043765,98,100,99
Basalys_sp_USNMENT01322288,59.69463,99,100,100
Pristomerus_sp_BS_UCE_Ich413,59.620869,100,85,100
Collyria_coxator_BS_UCE_Ich384,59.323367,100,27,27
Trematopygus_sp_BS_UCE_Ich468,58.831629,100,100,99
Dusona_sp_BS_UCE_Ich410,58.750492,75,100,99
Deleboea_sp_BS_UCE_Ich186,58.26367,100,100,100
Ophelimus_sp_USNMENT01322529,57.983379,95,100,100
Erythrodolius_sp_BS_UCE_Ich397,57.865362,53,52,100
Podogaster_cf_BS_UCE_Ich421,57.808812,100,100,100
Chaenusa_quadriceps_USNMENT01322484,56.980232,100,100,100
Aphelonix_persica_USNMENT01322296,56.483576,100,100,100
Elasmus_albizziae_USNMENT01322182,56.454072,100,100,100
Gelis_sp_BS_UCE_Ich134,56.200826,100,100,100
Pnigalio_minio_USNMENT01322183,55.773013,100,100,100
Scutimica_sp_USNMENT01322133,55.664831,100,100,100
Cosmocomoidea_morrilli_USNMENT01322077,55.153423,100,100,100
Aclista_sp_USNMENT01322344,55.136212,100,100,82
Setanta_sp_BS_UCE_Ich267,54.787077,99,98,96
Chirotica_sp_BS_UCE_Ich476,54.659225,100,100,99
Pseudognaptodon_sp1_USNMENT01322474,54.614969,100,100,99
Neothlipsis_cincta_USNMENT01322251,54.521538,100,100,100
Lysiphlebus_sp1_USNMENT01322546,54.204367,100,100,100
Aperilampus_sp_JRAS07798_101,53.779013,100,100,98
Systole_sp_prob_albipennis_USNMENT01322069,53.729839,100,100,100
Helcon_nunciator_USNMENT01322576,53.700334,100,98,97
Proclitus_fulvicornis_BS_UCE_Ich355,53.658537,62,100,100
Hexacharis_flavipes_USNMENT01339633,53.471676,100,100,100
Apterogyna_sp_EX572,53.282356,97,99,20
Calliephialtes_ferrugineus_BS_UCE_Ich375,53.159422,100,100,97
Pediaspis_aceris_USNMENT01339590,53.137293,86,100,100
Adialytus_sp1_USNMENT01322467,52.751279,100,100,100
Mesochorus_sp_BS_UCE_Ich334B,52.707022,100,99,97
Zapatella_davisae_USNMENT01322330,52.441483,100,86,100
Aximopsis_sp3_USNMENT01322404,52.190696,100,100,100
Belyta_sp_USNMENT01322343,51.986625,82,100,100
Zygota_sp_USNMENT01322354,50.612215,100,82,100
Coccophagus_sp1_USNMENT01231210,50.354052,100,100,97
Diplazon_laetatorius_BS_UCE_Ich322,50.341758,100,100,100
Eutanygaster_sp_BS_UCE_Ich412,50.194237,100,100,100
Hoplitalysia_slossonae_USNMENT01322466,49.96312,100,97,78
Heimbrella_sp_USNMENT01322371,49.953285,100,100,100
Casinaria_sp_BS_UCE_Ich436,49.786094,100,78,55
Neorileya_flavipes_USNMENT01322369,49.326318,100,100,100
Agathis_sp1_USNMENT01322249,49.28452,100,100,100
Dirhinus_sp_USNMENT01322191,48.891129,79,79,100
Pamphilius_pullatus_USNMENT01339625,48.839496,100,100,100
Macrorileya_oecanthi_USNMENT01322367,48.709186,100,100,100
Kleidotoma_sp1_USNMENT01339641,48.603462,100,98,97
Pteromalus_puparum_USNMENT01322091,48.19286,100,100,100
Binodoxys_sp2_USNMENT01322507,48.141227,100,100,100
Homaloceraphron_macrophthalmus_PSUC_FEM17848,48.030586,100,99,100
Ablerus_sp1_USNMENT01231208,47.447876,93,75,63
Sclerogibbidae_sp_EX566,47.015146,86,87,100
Khamul_erwini_USNMENT01322370,46.737313,98,100,99
Acordulecera_pellucida_USNMENT01322225,46.506196,100,100,100
Rhygoplitis_sp1_USNMENT01322480,46.233281,100,100,100
Eutrichosoma_mirabile_USNMENT01322104,45.881688,100,100,98
Utetes_sp1_USNMENT01322452,45.881688,88,96,100
Chalcimerus_borceai_JRAS01317_301,45.692368,100,43,43
Mirax_sp1_USNMENT01322590,45.517801,100,100,99
Ampibolips_hidalgoensis_USNMENT01339676,45.490755,100,86,100
Trassedia_n_sp_PSUC_FEM95969,45.394866,100,100,100
Trathala_n_sp_BS_UCE_Ich408,45.385031,100,100,100
Theocolax_elegans_USNMENT01322095,45.33094,98,82,43
Exochus_izbus_BS_UCE_Ich391,45.269473,100,99,100
Tenuipetiolus_ruber_USNMENT01322382,45.173584,100,100,96
Exallonyx_sp_USNMENT01322352,44.91788,100,100,100
Gasteruption_tarsatorium_USNMENT01339671,44.777734,100,100,100
Neuroterus_distortus_USNMENT01322326,44.775275,100,100,100
Anomalon_sp_BS_UCE_Ich336B,44.735936,100,82,100
Ethelurgus_nigriventris_BS_UCE_Ich165,44.285995,100,100,100
Bembix_americana_EX446,44.067172,100,100,97
Lycorina_fici_BS_UCE_Ich400,44.052419,100,100,100
Eubazus_sp1_USNMENT01322552,43.705744,100,100,100
Xiphosomella_sp_BS_UCE_Ich409,43.511507,100,100,100
Eurytoma_fumipennis_USNMENT01322362,43.383655,100,100,100
Cidaphus_sp_BS_UCE_Ich385,43.329563,100,99,97
Signiphora_sp_JRAS07789_0189,43.250885,100,93,75
Epitranus_sp_USNMENT01322192,43.027144,100,100,100
Ausystole_sp_USNMENT01322399,42.857494,100,100,100
Pseudoligosita_gracilior_JRAS07625_0489,42.835366,100,99,96
Phanerotoma_sp1_USNMENT01322469,42.648505,100,100,99
Dinotrema_sp1_USNMENT01322537,42.577203,98,100,100
Cryptophion_inaequalipes_BS_UCE_Ich445,42.520653,100,100,78
Josephiella_microcarpae_JRAS06552_0189,42.518194,100,100,78
Lophyrotoma_zonalis_USNMENT01339631,42.405094,100,100,100
Auplopus_sp_EX549,42.301829,99,100,100
Anagrus_sp_USNMENT01322527,42.132179,100,100,100
Paramesius_sp_USNMENT01322286,41.88631,99,100,100
Therion_sp_BS_UCE_Ich403,41.864182,100,100,100
Trieces_sp_BS_UCE_Ich392,41.819925,100,100,99
Acrolyta_sp_BS_UCE_Ich122,41.578973,100,100,100
Coleocentrus_rufus_BS_UCE_Ich379,41.160995,99,99,27
Anastatus_reduvii_USNMENT01322064,40.870869,100,99,100
Notiospathius_terminalis_USNMENT01322437,40.853659,100,100,100
Masner_lubomirus_PSUC_FEM13496,40.806943,100,100,100
Neocremnops_virginiensis_USNMENT01322238,40.504524,100,100,100
Mikeius_hartigi_USNMENT01322169,40.354544,100,100,100
Aprostocetus_prob_gala_USNMENT01322186,40.275865,100,100,100
Pseudometagea_sp_USNMENT01322060,40.243902,100,100,100
Histeromerus_sp1_USNMENT01322604,40.148013,99,100,100
Brachygaster_BRV003_PSUC_FEM188507,40.07917,100,100,91
Paradecatoma_sp_USNMENT01322415,40.039831,99,98,100
Mymaromma_anomalum_JRAS07601_0189,39.518588,100,100,100
Glyptomorpha_pectoralis_USNMENT01322556,39.095692,100,48,100
Omalaspis_sp_USNMENT01322151,38.91129,100,100,100
Ooencyrtus_sp1_USNMENT01231161,38.638375,100,100,100
Plectocynips_pilosus_USNMENT01322170,38.594119,100,100,100
Pseudibalia_sp_USNMENT01339677,38.382671,100,100,98
Echthromorpha_agrestoria_BS_UCE_Ich335,38.035995,100,100,100
Ceraphron_sp_PSUC_FEM17529,37.913061,99,100,100
Aulacodes_nigriventris_USNMENT01322459,37.772915,100,100,99
Philolema_latrodecti_USNMENT01322374,37.610641,98,100,99
Perilampella_sp_ANIC00063_0189,37.495083,78,98,82
Iphitrachelus_sp_USNMENT01335755,37.308222,100,100,100
Megaspilus_armatus_PSUC_FEM13531,37.204957,100,100,100
Charops_sp_BS_UCE_Ich455,36.855822,55,100,99
Austromerus_sp_USNMENT01197939,36.423092,100,100,100
Lysitermoides_sp1_USNMENT01322608,36.132966,100,100,100
Palmon_sp_USNMENT01322085,36.010031,100,100,100
Aphidius_sp4_USNMENT01322235,35.442073,100,100,100
Torymoides_sulcius_USNMENT01322088,35.405193,100,100,100
Orthostigma_sp1_USNMENT01322428,35.265047,98,100,100
Astrenis_sp_BS_UCE_Ich443,35.255212,86,53,52
Coelocyboides_sp_USNMENT01322071,34.633163,99,100,90
Scolomus_clypeatus_BS_UCE_Ich328,34.628245,100,100,99
Eucharis_adscendens_JRAS07609_0189,34.458596,100,100,100
Melanips_sp_USNMENT01322150,34.311074,100,100,61
Sycophila_nsp_USNMENT01322053,34.222561,100,99,100
Eurytoma_n_sp_guadeloupe_USNMENT01322395,34.202891,100,100,96
Idarnes_incerta_JRAS06107_0389,33.969315,100,100,35
Acrisis_sp1_USNMENT01322601,33.947187,100,99,100
Atopotrophus_bucephalus_BS_UCE_Ich434,33.861133,100,100,100
Isosomodes_parkeri_USNMENT01322054,33.605429,100,99,100
Encarsia_sp1_USNMENT01231206,33.354642,100,100,97
Capitonius_chontalensis_USNMENT01322558,33.352183,100,100,99
Leiophron_incerta_USNMENT01322473,33.071892,100,100,100
Anidarnes_nsp_JRAS06087_0389,32.993214,100,100,35
Enicospilus_sp_BS_UCE_Ich570,32.889949,100,100,100
Trioxys_sp1_USNMENT01322622,32.889949,100,100,100
Diapria_conica_USNMENT01322287,32.83094,100,100,100
Pauesia_sp1_USNMENT01322547,32.798977,100,100,100
Notaspidium_sp_USNMENT01322202,32.735051,100,79,100
Oenonogastra_sp1_USNMENT01322540,32.700629,100,100,100
Absyrtus_sp_BS_UCE_Ich386,32.528521,99,97,98
Piestopleura_sp_USNMENT01223801,32.462136,100,100,100
Phaenoserphus_sp_USNMENT00764821,32.39821,100,100,100
Megalyridae_sp_USNMENT01339662,32.290028,100,100,100
