Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Mycetosoritis_hartmanni_USNMENT00924124,93.895206,77,100,100
Sceliphron_caementarium_CASENT0106321,93.26878,100,100,100
Cyatta_abscondita_USNMENT00693058,93.152302,100,100,100
Blepharidatta_brasiliensis_USNMENT00439550,93.145266,99,53,45
Epopostruma_quadrispinosa_group_CASENT0625856,92.630367,99,100,99
Notostigma_carazzii_CASENT0106112,92.488352,50,49,88
Agraulomyrmex_tz01_CASENT0217051,92.400017,76,76,99
Mycetagroicus_inflatus_USNMENT00539680,91.977101,50,50,100
Santschiella_kohli_CASENT0004701,90.744312,31,19,36
Heterogyna_nocticola_CUICBND1290,90.650504,100,100,100
Kalathomyrmex_emeryi_USNMENT00924119,90.165571,100,100,100
Bajcaridris_theryi_CASENT0235255,90.089222,100,100,74
Paratrachymyrmex_cornetzi_USNMENT00439347,90.033719,100,100,50
Protalaridris_sp_JTLC000015230,89.800242,82,100,100
Mycocepurus_smithii_USNMENT00307504,89.794249,100,100,100
Mycetophylax_simplex_USNMENT00538737,89.721548,50,100,100
Xerolitor_explicatus_USNMENT01125245,89.604288,51,100,100
Rossomyrmex_anatolicus_CASENT0235254,89.050302,99,100,100
Pseudonotoncus_hirsutus_CASENT0227592,88.823339,75,75,88
Amoimyrmex_striatus_USNMENT00924113,88.781126,50,88,100
Teratomyrmex_greavesi_QMT162820,88.592468,100,75,88
Pilotrochus_besmerus_CASENT0135545,88.478857,100,100,41
Dasypoda_visnaga_CUICBND977,88.18206,100,100,100
Ampulex_compressa_CUICBND1382,87.54521,100,100,100
Brachymyrmex_depilis_CASENT0106038,87.480066,100,100,100
Mycetomoellerius_zeteki_USNMENT01125246,87.304698,100,100,50
Zatania_albimaculata_CASENT0106052,86.953701,75,76,100
Mycetarotes_parallelus_USNMENT00539651,86.846604,77,100,100
Myrmecorhynchus_emeryi_CASENT0227590,85.662803,49,88,100
Lenomyrmex_foveolatus_CASENT0625812,85.308419,49,51,100
Eutetramorium_mocquerysi_RA0321atMCZ,81.746334,50,74,75
Lepisiota_canescens_CASENT0138305,81.569663,100,75,76
Lachnomyrmex_pilosus_CUIC000115666,81.289803,53,45,41
Aphomomyrmex_afer_CASENT0217049,79.955129,100,100,76
Tapinolepis_mg01_CASENT0041468,78.364828,100,76,99
Petalomyrmex_phylax_CASENT0217048,78.046664,100,100,76
Microdaceton_ug01_CASENT0362426,77.893445,99,25,49
Plagiolepis_sp_FMNHINS0003471606,76.751858,100,75,76
Linepithema_humile_Genome,76.005566,100,72,54
Thaumatomyrmex_atrox_CUIC000115674,73.765387,90,92,92
Iberoformica_subrufa_CASENT0270631,73.285144,100,100,100
Pseudoatta_sp_USNMENT00443055,73.252311,100,88,50
Lasiophanes_atriventris_CASENT0106235,72.214694,50,49,88
Veromessor_andrei_FMNHINS0003165141,71.109328,100,50,100
Chrysis_sp_USNMENT01248288,66.287614,100,100,100
Oecophylla_smaragdina_CASENT0106113,64.797115,51,22,36
Evagetes_parvus_RA0386atMCZ,64.310618,100,100,100
Cladomyrma_petalae_CASENT0235222,63.192743,100,100,100
Stigmatomma_pallipes_CUIC000115673,59.314318,77,100,100
Pepsis_grossa_CASENT0106314,59.177515,100,100,100
Chyphotes_sp_CASENT0501449,54.204146,100,100,100
Mischocyttarus_flavitarsis_CASENT0106320,53.440396,100,100,100
Vespula_germanica_RA0385atMCZ,50.963874,100,100,100
Apis_mellifera_CUIC000115660,48.994434,100,100,100
Brachycistis_timberlakei_CASENT0106315,48.772944,100,100,100
Gigantiops_destructor_FMNHINS0003145673,48.714575,31,19,36
Ochetellus_sp_FMNHINS0003471721,47.527126,75,100,100
Apomyrma_stygia_RA0120atMCZ,45.776832,75,46,100
Axinidris_lignicola_RA0253atMCZ,44.73244,98,100,100
