Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
CAL_Cal_Pericallimyia_io,99.089405,76,61,96
RHINI_Cos_Villeneuviella_seguyi,98.947019,NA,NA,55
OES_Hyp_Hypoderma_tarandi,98.93621,93,99,100
MES_Laneella_sp,96.415393,100,100,100
CAL_Cal_Bellardia_viarum,96.10453,60,96,95
CAL_Tox_Sarconesia_versicolor,95.682965,95,95,85
CAL_Mel_Melinda_viridicyanea,95.621836,60,96,95
OES_Cut_Dermatobia_hominis,94.10629,100,72,93
OES_Cut_Cuterebra_fontinella,91.806878,100,100,72
TAC_Tac_Epalpus_signifer,89.337125,100,100,100
RHINI_Cos_Sumatria_rufithorax,87.475306,100,100,100
CAL_Chr_Phormia_regina,85.738354,100,100,100
RHINI_Rhi_Stomorhina_cribata,81.280425,100,100,60
TAC_Tac_Spilochaetosoma_californicum,80.097732,100,100,100
FAN_Fannia_sp2,79.90279,100,100,100
RHINO_Tromodesia_angustifrons,75.792252,100,100,85
FAN_Fannia_sp1,75.165681,100,100,100
RHINO_Rhinophora_lepida,72.334002,100,100,100
RHINI_Cos_Isomyia_pubera,68.81686,100,55,60
RHINI_Cos_Sumatria_vittigera,68.028522,100,100,100
RHINO_Tricogena_rubicosa,66.357917,100,100,100
TAC_Tac_Nigrilypha_gnoma,66.20994,100,100,100
RHINI_Cos_Cosmina_sp,65.183051,100,NA,55
RHINO_Bezzimyia_setifax,62.662234,100,100,100
SAR_Sar_Sarcophaga_Sarcophaga_lehmanni,62.225014,100,75,100
RHINI_Cos_Cosmina_fuscipennis,61.335291,100,NA,55
FAN_Euryomma_sp,61.263726,100,100,100
RHINI_Cos_Isomyia_nataliensis,58.549458,100,100,55
RHINO_Paykullia_maculata,58.076828,100,100,100
RHINO_Rhinomorinia_capensis,58.011972,100,100,85
ANT_Leucophora_maculata,57.008193,100,100,100
ANT_Anthomyia_procellaris,56.829279,100,100,100
CAL_Pol_Pollenia_rudis,56.380132,100,100,99
RHINI_Cos_Rhyncomya_dasyops,50.484558,100,100,99
RHINI_Cos_Eurhyncomyia_diversicolor,50.137167,99,NA,NA
SAR_Sar_Sarcophaga_Hellicophagella_melanura,49.984718,100,100,87
SAR_Sar_Sarcophaga_Mauritiella_cfrayssae,49.983227,100,100,100
OES_Oes_Oestrus_ovis,48.689831,100,100,72
CAL_Cal_Calliphora_sp,45.184989,76,61,96
CAL_Phu_Phumosia_sp,42.741701,100,61,98
MES_Mesembrinella_spicata,42.601552,94,94,100
TAC_Exo_Smidtia_fumiferanae,41.433768,100,100,100
TAC_Dex_Thelaira_americana,36.435744,100,99,97
TAC_Tac_Panzeria_nigricornea,36.177438,100,100,100
ANT_Hylemya_alcathoe,35.690271,100,100,100
TAC_Pha_Cylindromyia_binotata,35.296288,99,99,97
MES_Mesembrinella_batesi,34.199325,94,100,100
RHINO_Melanophora_roralis,34.14155,100,100,100
SAR_Par_Brachicoma_setosa,33.844107,100,100,100
SCA_Scathophaga_stercolaria,33.819133,100,100,100
TAC_Mac_Cholomyia_inaequipes,33.591391,97,100,100
RHINI_Cos_Isomyia_tristis,33.120252,100,100,55
RHINI_Rhi_Rhiniaa_apicalis,33.101988,100,100,60
OES_Cut_Cuterebra_sp,31.688571,100,100,72
CAL_Luc_Lucilia_sp2,31.673662,100,95,85
TAC_Pha_Trichopoda_pennipes,31.000872,99,99,97
MES_Mesembrinella_flavicrura,30.987826,94,94,100
RHINI_Cos_Rhyncomya_soyauxi,30.898742,100,99,NA
RHINI_Rhi_Fainia_albitarsis,30.185697,100,100,60
CAL_Chr_Protocalliphora_sp,29.519617,100,100,100
RHINI_Cos_Rhyncomya_minutalis,29.259447,100,100,99
TAC_Exo_Blondelia_hyphantriae,28.849437,100,100,100
TAC_Dex_Ptilodexia_harpassa,28.581066,100,99,97
SAR_Sar_Chrysagria_sp,28.241131,100,100,100
OES_Oes_Cephenemyia_sp,27.167277,100,100,72
CAL_Luc_Lucilia_sp1,26.896297,100,95,85
RHINI_Rhi_Genus_Unknown_sp,25.500026,100,100,100
CAL_Ben_Bengalia_sp,25.468716,100,61,98
SAR_Sar_Sarcophaga_Neobellieria_bullata,25.010623,100,100,85
SAR_Sar_Sarcophaga_Asceloctella_australis,24.515256,100,100,100
CAL_Chr_Chrysomya_megacephala,23.944224,100,100,100
SAR_Sar_Sarcophaga_Thyrsocnema_incisilobata,22.404449,100,75,100
CAL_Mel_Melanomya_nana,22.336984,61,96,95
SAR_Sar_Fletcherimyia_folkertsi,22.061904,100,100,100
RHINI_Rhi_Stomorhina_lunata,21.619093,100,100,60
CAL_Chr_Cochliomyia_macellaria,21.604556,100,100,100
CAL_Chr_Hemilucilia_semidiaphana,21.442789,100,100,100
CAL_Chr_Paralucilia_sp,20.016326,100,100,100
SAR_Sar_Helicobia_rapax,19.184005,85,100,100
CAL_Chr_Hemilucilia_segmentaria,19.157541,100,100,100
SAR_Mil_Amobia_signata,18.847424,100,100,100
SAR_Sar_Blaesoxipha_Gigantotheca_plinthopyga,18.2585,100,100,100
SAR_Sar_Spirobolomyia_flavipalpis,17.230866,100,100,100
CAL_Chr_Chloroprocta_idioidea,16.813401,100,100,100
SAR_Sar_Ravinia_querula,16.065318,100,100,100
SAR_Mil_Sarcotachina_subcylindrica,15.841676,100,100,100
CAL_Chr_Chrysomya_rufifacies,15.637417,100,100,100
CAL_Chr_Compsomyiops_callipes,15.410793,100,100,100
SAR_Sar_Lipoptilocnema_koehleri,15.301581,100,85,100
SAR_Sar_Oxysarcodexia_ventricosa,14.087578,100,100,100
SAR_Sar_Emdenimyia_limai,13.393915,100,100,100
SAR_Par_Dexagria_ushinskyi,13.264203,100,100,100
SAR_Sar_Sarcophaga_Sarcorohdendorfia_furcata,13.074107,75,100,100
SAR_Mil_Eumacronychia_sp,12.866493,100,100,100
SAR_Sar_Comasarcophaga_texana,12.023363,100,100,100
SAR_Sar_Argoravinia_rufiventris,11.515696,100,100,100
SAR_Sar_Sarcophaga_Stackelbergeola_mehadiensis,11.469849,100,100,100
SAR_Par_Paramacronychia_flavipalpis,11.03002,100,100,100
SAR_Sar_Sarcophaga_Bellieromima_subulata,10.292002,100,87,75
SAR_Sar_Sarcophaga_Rohdendorfisca_forma,9.966603,100,100,100
