Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
PTER_0003G,92.933396,NA,NA,NA
PROS_0003G,83.427066,100,100,100
PTER_0002G,83.257678,100,100,100
NHAN_0002G,77.377294,100,100,100
PROS_0004G,75.814637,100,100,100
VITA_0040G,75.610015,100,95,95
VITA_0029G,72.961566,100,55,100
VITA_0015G,71.600435,100,75,55
VITA_0011G,68.596136,95,55,100
VITA_0039G,62.296466,95,100,75
VITA_0016G,58.790029,100,75,55
VITA_0034G,56.927762,100,95,100
VITA_0005G,55.428124,100,55,55
VITA_0007G,40.174309,95,100,55
EUPA_0001G,39.853442,100,100,100
VITA_0027G,35.843945,95,100,100
EUPA_0002G,33.551011,100,100,100
VITA_0001G,32.256161,55,55,85
VITA_0022G,28.761524,100,55,100
VITA_0032G,26.33795,55,95,75
PROS_0001G,25.499712,100,100,100
PROS_0002G,22.48035,100,100,100
LASI_0002G,22.255391,100,100,100
VITA_0002G,22.20727,95,100,75
VITA_0008G,21.720697,95,100,55
VITA_0045G,20.777094,100,100,100
VITA_0026G,19.877428,95,100,100
EUPA_0003G,19.572713,100,100,100
VITA_0042G,19.29888,95,100,95
VITA_0014G,19.223392,55,100,95
NHAN_0001G,19.099949,95,100,100
VITA_0030G,18.882188,75,100,100
VITA_0023G,18.836493,95,100,95
LASI_0001G,18.790631,100,100,100
VITA_0010G,18.776572,95,100,95
NHAN_0003G,18.749205,100,100,100
PTER_0006G,18.728868,100,100,100
PTER_0004G,18.420806,100,100,100
VITA_0037G,18.368332,100,100,85
ACAN_0001G,18.341301,NA,NA,NA
VITA_0024G,18.192165,100,95,100
VITA_0038G,18.177352,100,100,85
VITA_0044G,18.125883,NA,NA,NA
VITA_0018G,18.119774,100,100,100
VITA_0035G,18.097596,55,95,75
PTER_0009G,18.092742,100,100,100
PTER_0007G,18.079519,100,100,100
VITA_0019G,18.04144,55,100,100
VITA_0028G,17.963022,95,75,100
VITA_0036G,17.872972,100,85,95
VITA_0013G,17.83958,95,55,100
VITA_0025G,17.713041,100,95,100
VITA_0009G,17.626757,100,95,100
PTER_0005G,17.531518,100,100,100
VITA_0021G,17.498795,55,100,95
VITA_0017G,17.481053,100,100,100
VITA_0004G,17.270907,100,75,55
VITA_0020G,17.252245,55,100,100
APH_3004G,16.089625,NA,NA,NA
APH_3056G,15.849184,NA,NA,NA
AUMS_10968G,15.772357,NA,NA,NA
APH_0645G,14.837123,NA,NA,NA
VITA_0043G,14.475332,NA,NA,NA
