Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
BS_UCE_Ich720_Tanepomidos_assamensis,96.789413,100,88,100
BS_UCE_Ich710_Dagathia_philippina_philippina,95.918319,100,31,100
BS_UCE_Cryp29_Cryptinae_Spathacantha_n_sp,94.940077,78,100,100
BS_UCE_Ich743_Afretha_excavata,94.861048,100,100,100
BS_UCE_Ich747_Caenopelte_pallinorsa,89.617021,85,100,100
C0554_Hemiteles_sp,85.707309,100,88,100
C0545_Microleptes_sp,85.020616,31,77,95
C0546_Brachycyrtus_ornatus,84.712196,100,100,100
C0544_Euceros_n_sp,83.915395,100,100,100
C0555_Phygadeuon_sp,81.366934,100,100,100
BS_UCE_Ich742_Buysmania_oxymora,81.052002,100,100,88
C0551_Limonethe_maurator,81.037795,100,100,100
C0542_Adelognathus_sp,80.354061,100,100,100
C0547_Polyaulon_sp,80.33719,31,77,95
BS_UCE_Ich745_Nelophia_compsa,80.12171,45,100,100
C0552_Dichrogaster_sp,79.857097,100,100,100
C0543_Agriotypus_armatus,79.075983,100,100,88
BS_UCE_Cryp31_Xanthocryptus_sp_2,79.002874,100,100,5
C0084_Distictus_tibialis,78.341636,97,100,100
BS_UCE_Ich738_Cremnocryptus_sp,77.560818,100,100,100
BS_UCE_Acros_Acrosnemus_occultus,76.532554,100,100,100
BS_UCE_Ich741_Leptarthron_tuberculatum,76.493188,100,100,14
V116_Stomacis_sp,76.492892,88,100,99
C0550_Trogomorpha_trogiformis,76.412383,100,100,100
BS_UCE_Ich750_Periplasma_tanaum,75.273123,45,100,100
C0254_Oresbius_sp,74.710153,100,100,100
C0233_Gelis_sp_1,73.340911,100,100,100
C0549_Bathythrix_sp,72.720815,100,95,73
C0406_Anepomias_splendidus,72.362373,100,100,100
C0542a_Deleboea_sp,70.738284,100,99,100
CNC_UCE_005_Synechocryptus_erberi,69.949475,100,100,100
C0548_Endasys_sp,67.821022,100,95,73
C0561_Osprynchotus_objurgator,66.364758,100,100,100
C0283_Digonocryptus_zopherus,62.874462,100,100,100
C0534_Dicaelotus_sp,61.565305,100,100,74
C0256_Giraudia_sp_1,57.314023,99,63,100
C0333_Cubocephalus_sp_1,55.878775,100,100,100
C0421_Glodianus_sp_2,52.976016,100,96,65
C0511_Anacis_festiva,52.675588,100,100,100
C0571_Thrybius_praedator,51.867539,100,100,100
C0350_Necolio_sp_2,51.589902,100,99,100
C0003_Lymeon_cinctipes,50.058162,100,100,100
C0218_Dinocryptus_fulgidipennis,49.963149,5,100,100
C0507_Itamuton_rufitibia,49.93799,100,100,100
C0257_Campoletis_sp,49.930591,100,99,100
BS_UCE_Ich749_Nothischnus_riverai,49.683144,97,100,100
C0519_Dotocryptus_bellicosus,49.266393,100,100,100
C0377_Gambroides_rangaparensis,47.237984,100,100,100
C0151_Arhytis_siamensis,45.911659,93,100,100
C0553_Acrolyta_sp,45.883244,99,12,100
C0231_Rhytura_sp,45.810135,100,99,63
C0505_Wuda_major,44.554552,88,100,100
C0009_Baltazaria_sp_1,43.623964,100,100,100
C0005_Loxopus_australis,43.414405,100,14,100
V075_Melanocryptus_tupan,43.151863,100,100,100
C0354_Hadrocryptus_sp,42.034506,100,100,100
BS_UCE_Ich451_Schreineria_sp,41.746214,100,71,79
C0340_Hylophasma_debilis,41.127006,100,100,100
C0006_Photocryptus_concinnus,40.865352,100,100,100
C0367_Ateleute_sp_4,40.05316,100,100,88
BS_UCE_Ich746_Reptatrix_crassipes,39.994258,82,18,100
BS_UCE_Ich751_Junctivena_gallowayi,39.767827,100,100,100
BS_UCE_Ich456_Eurycryptus_sp,38.844935,100,100,100
C0219_Amauromorpha_accepta,38.028894,94,100,100
C0346_Xanthocryptus_novozelandicus,37.746225,100,100,5
BS_UCE_Ich502_Toechorychus_stramineous,37.586984,100,100,96
C0517_Bilira_sp,37.155432,100,100,100
NHM_Ich_UCE_41_Cryptinae_Strabotes_rupelae,37.047101,100,100,89
C0376_Arthula_sp,37.041477,100,100,18
C0427_Lamprocryptus_sp_2,36.255923,100,96,65
C0002_Bathyzonus_sp,35.715745,100,100,86
C0156_Amrapalia_multimaculata,35.316456,100,31,100
D019_Digonocryptus_pontagus,35.188293,100,97,100
C0124_Eurycryptus_n_sp_1,34.900888,100,100,100
C0380_Stiromesostenus_nigriceps,34.839915,100,100,100
C0001_Agonocryptus_physocnemis,34.575893,100,100,100
V266_Aeglocryptus_cleonis,34.372845,100,100,100
C0201_Echthrus_n_sp,34.150557,100,100,100
C0358_Friona_sp_1,34.002267,99,100,100
C0529_Thrybius_togashii,33.83237,100,100,100
C0169_Myrmeleonostenus_longipetiolatus,33.140941,100,94,100
C0562_Dineotropica_lissa,31.559178,100,98,93
BS_UCE_Ich724_Mecistum_sp,30.891428,100,100,100
BS_UCE_Ich748_Dochmidium_camponotus,30.806776,100,100,100
C0040_Bicristella_sp,30.745802,100,100,100
C0528_Brussinocryptus_orientalis,30.722123,92,100,100
C0164_Hadrocryptus_n_sp,30.712947,100,100,100
BS_UCE_Ich731_Myrmecacis_metargas,29.945745,100,100,100
C0013_Diapetimorpha_sp_1,29.892467,100,100,100
V070_Cryptinae_Melanocryptus_aurantium,29.275923,100,100,100
C0496_Hoeocryptus_sp_3,29.251356,100,100,100
C0335_Cryptus_albitarsis,29.027293,100,100,100
C0386_Isotima_albicineta,28.909786,100,100,100
C0026_Messatoporus_euryoikos,28.868643,100,100,100
C0510_Chilecryptus_rhadinus,28.861836,97,100,100
V172_Gerdius_sp,28.631557,100,71,79
BS_UCE_Ich728_Aprix_nutatoria,28.519081,100,100,100
C0540_Pimpla_aequalis,28.306265,100,100,100
C0371_Eiphosoma_sp,28.230788,100,99,100
C0518_Clasis_n_sp_3,27.905793,100,100,100
C0138_Microstenus_canaliculatus,27.452338,100,100,100
C0539_Netelia_sp,26.730719,100,100,100
C0379_Microstenus_falsosus,26.379676,100,100,100
C0353_Schreineria_sp,25.690615,100,71,79
BS_UCE_Ich732_Picrocryptoides_willinki,25.634081,100,100,100
C0418_Debilos_soror,25.610106,100,100,100
C0216_Chlorocryptus_purpuratus,25.479279,100,100,100
C0500_Lorio_austerus,25.258768,100,100,100
C0191_Pharzites_sp,25.143036,100,31,100
V148_Polyphrix_cristata,25.137413,100,96,65
C0568_Iaria_sp,24.316637,100,100,100
C0297_Tamaulipeca_n_sp,23.396112,100,100,88
C0481_Dihelus_hylaevorus,23.311756,100,100,100
D003_Digonocryptus_zatheos,23.131795,99,100,100
C0014_Cryptanura_quadrimaculata,23.122027,100,100,100
C0020_Basileucus_venturii,23.083845,100,100,100
BS_UCE_Ich722_Paragambrus_sp,23.047438,99,46,63
INPA_A_004_Trypha_atriceps,22.758849,100,100,100
C0140_Mansa_sp,22.6887,99,46,63
BS_UCE_Ich725_Lipoprion_rufo_ornatus,22.637198,100,100,100
C0296_Cryptoxenodon_metamorphus,22.388272,100,100,100
BS_UCE_Ich730_Hypsanacis_sp,22.311315,69,100,100
C0264_Gavrana_sp,22.260109,100,100,100
V156_Xoridesopus_asperus,22.145857,100,31,100
C0410_Odontostoma_sp,22.091099,100,100,100
C0308_Whymperia_sp,21.638237,100,100,100
C0029_Digonocryptus_narratorius,21.585255,100,100,100
C0434_Xenarthron_pectoralis,21.543521,100,14,100
C0537_Labena_grallator,21.31413,100,100,100
C0342_Cryptohelcostizus_dichrous,21.178567,100,100,100
C0492_Hidryta_fusiventris,21.087402,100,100,100
INPA_A_014_Harpura_atriceps,20.59103,100,100,100
C0339_Apsilops_hirtifrons,19.980406,100,100,100
C0213_Pterocryptus_sp_2,19.933047,100,100,5
C0239_Pygocryptus_erugatus,19.661922,100,100,100
C0318_Mesostenus_thoracicus,19.524879,100,100,100
C0266_Stenarella_victoriae,19.454434,100,100,100
C0466_Costifrons_sp_2,19.280689,100,100,100
C0489_Gabunia_ruficoxis,18.934382,100,100,93
INPA_A_012_Hercana_atroflava,18.89768,100,100,100
C0017_Polycyrtus_tuberculatus,18.840554,100,100,100
C0441_Cubocephalus_sp_2,18.78846,100,100,100
C0258_Ceratomansa_n_sp,18.715647,88,100,100
C0536_Polytribax_contiguus,18.702919,100,100,100
C0287_Toechorychus_amapaeus,18.387396,100,100,96
C0417_Piasites_carinatus,18.155045,99,100,100
C0490_Larpelites_celer,18.065656,100,100,100
C0527_Paragambrus_sapporonis,17.948149,100,100,100
C0299_Coesula_fulvipes,17.402642,99,100,100
C0260_Paraphylax_sp,17.380739,100,100,100
C0477_Nesolinoceras_laluzbrillante,17.230081,98,93,100
C0365_Eurycryptus_n_sp_2,17.080903,100,100,100
V054_Tsirambia_acaulis,16.845888,94,100,100
C0535_Phaeogenes_sensu_latu,16.752059,100,100,100
C0506_Anacis_rubripes,16.648759,85,100,100
C0324_Skeatia_rugosa,16.118644,100,100,100
V132_Idiolispa_sp,16.1071,100,100,100
V193_Zonocryptus_luctor,16.036063,100,100,100
C0004_Latosculum_n_sp,15.959106,100,100,100
C0531_Linycus_exhortator,15.465989,100,100,100
BS_UCE_Ich733_Neaprix_sp,15.390216,100,100,100
C0530_Hemigaster_taiwana,15.30734,100,100,77
C0538_Odontocolon_albotibiale,15.296388,100,100,100
C0270_Necolio_sp_1,15.167337,100,99,100
C0202_Thelodon_sp_1,14.817183,100,100,100
C0521_Surculus_n_sp,14.806823,100,74,100
INPA_A_002_Fortipalpa_exelysae,14.79084,100,100,100
C0532_Phaeogenes_sensu_strictu,14.637518,100,100,100
C0515_Araucacis_leptaulax,14.457261,100,100,100
C0541_Coelichneumon_phaenomenon,14.223134,100,100,100
C0247_Schenkia_sp_1,14.138185,46,63,100
C0158_Platymystax_sp,14.102963,88,100,99
C0486_Gyropyga_nigra,13.964736,100,100,100
C0227_Aritranis_sp_1,13.823845,100,92,100
C0533_Vulgichneumon_terminalis,13.536737,100,100,100
C0343_Mallochia_frontalis,13.525489,100,100,89
C0153_Picardiella_sp_1,13.480499,100,99,100
C0249_Jarva_sp,13.424853,100,100,100
C0311_Polycyrtidea_pusilla,13.413013,100,100,100
C0332_Diapetimorpha_alabama,13.18599,100,100,100
C0142_Goryphus_sp_1,13.04658,100,100,100
C0485_Calaminus_hokkaidensis,12.967551,82,18,100
C0310_Lymeon_orbus,12.951271,100,89,96
C0155_Torbda_geniculata,12.900657,100,93,100
C0436_Cestrus_arcuatus,12.791734,100,98,93
C0415_Hoeocryptus_bellicosus,12.526824,100,88,100
C0177_Pterocryptus_sp_1,12.442467,100,100,5
C0453_Helcostizus_sp,12.347455,100,100,85
C0389_Coccygodes_nobilis,12.198869,100,100,100
C0303_Platylabini,12.052946,100,100,100
C0250_Trychosis_exulans,12.02394,100,100,100
C0224_Messatoporus_discoidalis,12.005588,100,100,100
C0182_Acromia_sp_1,12.003812,100,100,100
C0494_Trachysphyrus_agenor,11.993157,100,100,100
C0183_Etha_sp,11.978653,100,100,100
C0226_Pachysomoides_fulvus,11.848122,100,96,69
C0161_Hedycryptus_rufopetiolatus,11.776197,100,100,94
INPA_A_010_Camera_sp,11.752222,100,100,100
C0021_Neocryptopteryx_blanchardi,11.478137,100,100,100
C0479_Latibulus_sp,10.969925,100,100,18
C0468_Cryptus_spilocephalus,10.761549,100,100,100
C0422_Priotomis_golbachi,10.533046,100,14,100
C0431_Palpostilpnus_sp,10.473552,12,100,100
C0302_Isdromas_sp,10.324966,99,12,100
C0242_Gelis_sp_2,10.2634,100,100,100
V195_Gessia_n_sp,9.875655,100,100,100
C0460_Joppidium_fuscipenne,9.54326,100,100,100
C0229_Buathra_laborator,9.505966,100,94,100
C0556_Cyclaulus_n_sp,9.452096,100,100,97
C0504_Stiromesostenus_sp,9.446176,100,100,100
C0255_Gambrus_polyphemi,9.307061,100,100,100
C0225_Lanugo_schlingeri,9.30203,100,100,100
C0312_Baryceros_texanus,9.106085,100,100,100
C0309_Ischnus_cinctipes,9.001601,100,100,85
C0355_Cryptohelcostizus_fumipennis,8.998345,100,100,100
C0442_Enclisis_macilenta,8.951579,18,100,100
C0070_Cryptopteryx_columbianus,8.909253,100,100,100
C0430_Dinocryptus_niger,8.805065,100,93,100
C0168_Palmerella_sp,8.762147,100,100,71
C0446_Mesostenus_transfuga,8.737876,100,100,100
C0317_Listrognathus_albomaculata,8.68371,100,100,100
C0289_Digonocryptus_arcaeus,8.61504,100,100,100
C0448_Xylophrurus_angustus,8.371738,18,100,100
C0238_Vulgichneumon_sp,8.31846,100,100,100
C0443_Echthrus_reluctator,8.137019,100,100,100
C0524_Nematocryptus_exitialis,7.896972,100,100,100
C0480_Sphecophaga_vesparum,7.861454,100,18,100
C0488_Acorystus_albicornis,7.4965,100,100,100
C0259_Allophatnus_sp_1,7.340514,100,100,100
C0315_Acroricnus_stylator,7.272141,100,100,100
C0152_Kemalia_sp_2,7.254677,100,100,85
C0173_Stenarella_insidiator,6.430053,100,100,100
C0357_Nematopodius_sp_2,6.108906,100,100,99
V176_Gerdius_n_sp_sp,5.670843,100,71,79
BS_UCE_Ich503_Camera_euryapsis,5.396758,100,100,100
