Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Calommata_signata_JXZ606,76.015665,100,100,100
Pholcus_manueli_JXZ600,66.393004,100,100,100
Tetragnatha_praedonia_JXZ594,64.924081,100,100,100
Dysdera_silvatica,62.580923,100,100,100
Habronattus_ophrys_JXZ426,62.33593,100,100,100
Dictyna_foliicola_ZYL194,60.291564,100,100,100
Allagelena_difficilis_JXZ592a,60.04995,100,100,100
Loxosceles_reclusa,59.339595,100,100,100
Plexippoides_regius_JXZ423,59.162196,70,100,100
Ummeliata_feminea_JXZ604,58.026138,100,100,100
Acanthoscurria_geniculata,57.116588,100,100,100
Trichonephila_clavata_JXZ596,52.465448,100,100,100
Xysticus_kansuensis_ZYL191,52.183554,100,90,100
Parabathippus_shelfordi_JXZ417,51.568037,90,100,100
Pisaura_bicornis_ZYL165,48.951262,100,100,100
Thiania_bhamoensis_JXZ591,41.442147,100,100,100
Sinopoda_sp_ZYL139,40.800903,100,100,100
Latrodectus_hesperus,39.410886,100,100,100
Oxytate_parallela_ZYL156,36.717619,100,90,100
Rhomphaea_sp_JXZ609,35.817795,100,100,100
Hahnia_zhejiangensis_ZYL162,32.844014,100,100,100
Orthobula_crucifera_JXZ601,30.907522,100,100,100
Anahita_fauna_ZYL195a,29.915894,100,100,100
Pireneitega_luctuosa_ZYL167,28.133488,100,100,100
Mallinella_zhui_ZYL190,25.926414,100,100,100
Plator_insolens_JXZ602b,24.161458,100,100,100
Matidia_sp_ZYL148,22.097158,100,100,100
Zelotes_wuchangensis_ZYL173,21.991698,100,100,100
Araneus_ventricosus,21.740498,100,100,100
Hamadruas_sikkimensis_JXZ616,21.736635,100,90,100
Thanatus_sp_YHD021,19.485211,100,100,100
Anelosimus_studiosus,19.29657,100,100,100
Corythalia_opima_JXZ418,19.109307,90,100,100
Cheiracanthium_taegense_ZYL137,18.875626,100,100,100
Oxyopes_sushilae_ZYL174,18.641048,100,90,100
Argiope_bruennichi,16.204845,100,100,100
Trichonephila_clavipes,15.548151,100,100,100
Telamonia_caprina_JXZ569,14.866971,70,100,100
Maratus_sp_JXZ159a,14.79386,100,100,100
Spartaeus_jaegeri_JXZ588,14.333188,100,100,100
Ovia_alboannulata_JXZ610,13.800852,100,100,100
Pardosa_pseudoannulata,13.753261,100,100,100
Attulus_sinensis_JXZ421,13.319074,100,100,100
Stegodyphus_dumicola,13.295554,100,100,100
Parasteatoda_tepidariorum,11.315471,100,100,100
Stegodyphus_mimosarum,10.903563,100,100,100
Myrmarachne_formicaria_JXZ414,10.610703,100,100,100
Pardosa_laura,9.512925,100,100,100
Mendoza_nobilis_JXZ419,8.393558,100,100,100
Marpissa_milleri_JXZ425,8.301548,100,100,100
Argyroneta_aquatica,8.159394,100,100,100
Clubiona_pseudogermanica_YCH205,7.95075,100,100,100
Evarcha_albaria_JXZ412,6.296703,100,100,100
Attulus_fasciger_JXZ416,5.355012,100,100,100
Synagelides_agoriformis_JXZ424,4.908273,100,100,100
Chericanthium_insigne_ZYL082,4.839299,100,100,100
Portia_heteroidea_JXZ415,4.006724,100,100,100
