Species,TotalMiss
Chrysolampus_sp_ANIC00035_189 ,57.8206497
Euryischomyia_sp_ANIC00102_189 ,57.8175995
Aclista_sp_USNMENT01322344 ,64.7384475
Acraspis_villosa_USNMENT01322264 ,84.7087083
Adelius_sp_nr_fasciipennis_USNMENT01322246 ,36.8567943
Ademon_sp1_USNMENT01322504 ,15.8037212
Agathis_sp1_USNMENT01322249 ,57.3120329
Agapostemon_tyleri_BND222 ,58.4657618
Alabagrus_sp3_USNMENT01322247 ,36.1316151
Amblyaspis_sp_USNMENT01223891 ,29.4158914
Amitus_sp_USNMENT01223842 ,20.8265975
Ampulex_compressa_BND1382 ,51.4961110
Andricus_lucidus_USNMENT01322256 ,33.2240354
Antistrophus_minor_USNMENT01322280 ,9.6423669
Andricus_quercusoperator_USNMENT01322298 ,32.3722739
Andrena_asteris_HPG17 ,60.1418332
Aphaereta_sp_megalops_USNMENT01322462 ,40.3530578
Aphelonix_persica_USNMENT01322296 ,70.6832393
Aphanogmus_bicolor_PSUC_FEM13632 ,19.9786488
Aphanogmus_steinitzi_PSUC_FEM17568 ,19.3304865
Aphaenogaster_megommata_EX379 ,51.0073204
Aporus_niger_HPG6 ,57.6300137
Apterogyna_sp_EX572 ,80.2989172
Aridelus_sp1_USNMENT01322471 ,22.8740278
Argochrysis_armilla_EX434 ,52.7291444
Ascogaster_provancheri_USNMENT01322454 ,24.8497789
Atrusca_bella_USNMENT00892683 ,92.8473387
Aulacidea_hieracii_USNMENT01322279 ,13.1820955
Aulacodes_nigriventris_USNMENT01322459 ,41.5380509
Austrozele_sp1_USNMENT01322441 ,22.3318591
Ausasaphes_sp_USNMENT01322072 ,27.0649687
Augochloropsis_metallica_EX397 ,53.2911392
Aylax_salviae_USNMENT01322277 ,26.6516700
Aiolomorphus_rhopaloides_USNMENT01322045 ,35.9348788
Axima_zabriskiei_USNMENT01322046 ,26.9521122
Bephratoides_sp1_USNMENT01322049 ,15.1227696
Sycophila_nsp_USNMENT01322053 ,41.3329266
Balcha_indica_USNMENT01322062 ,12.9327436
Eurytoma_sp1_USNMENT01322063 ,15.6634131
Anastatus_reduvii_USNMENT01322064 ,51.9833765
Eusandalum_sp_USNMENT01322070 ,20.2668903
Ormyrus_sp1_USNMENT01322082 ,16.7843526
Perilampus_hyalinus_USNMENT01322083 ,24.6286411
Steffanolampus_sp_USNMENT01322084 ,12.8145493
Podagrionella_sp_USNMENT01322086 ,21.6867470
Chalcedectus_sp_USNMENT01322096 ,6.9086472
Lelaps_sp_USNMENT01322099 ,12.7588836
Colotrechnus_ignotus_USNMENT01322101 ,24.2351685
Scutellista_caerulea_USNMENT01322102 ,67.1557115
Teasienna_sp_USNMENT01322107 ,39.5249352
Metapelma_sp_USNMENT01322173 ,28.9980174
Leucospis_affinis_USNMENT01322176 ,14.9847491
Brachymeria_sp_USNMENT01322177 ,23.2842763
Oodera_sp_USNMENT01322179 ,15.6085100
Phasgonophora_sulcata_USNMENT01322180 ,13.3574806
Monodontomerus_sp2_USNMENT01322181 ,8.6693610
Acanthochalcis_nigricans_USNMENT01322190 ,18.9652280
Epitranus_sp_USNMENT01322192 ,49.4868080
Haltichella_sp_USNMENT01322193 ,31.2879366
Psilochalcis_brevialata_USNMENT01322195 ,20.6748513
Bruchodape_sp_USNMENT01322199 ,10.5917340
Notaspidium_sp_USNMENT01322202 ,38.8737227
Phylloxeroxenus_sp_USNMENT01322207 ,36.7080982
Aspicera_hartigi_USNMENT01322148 ,18.6617355
Melanips_sp_USNMENT01322150 ,47.0260790
Omalaspis_sp_USNMENT01322151 ,51.0225713
Paraspicera_sp_USNMENT01322152 ,12.9777337
Apocharips_trapezoidea_USNMENT01322156 ,19.7834375
Lytoxysta_brevipalpus_USNMENT01322157 ,29.3457374
Euceroptres_montanus_USNMENT01322161 ,18.9309135
Figites_sp_USNMENT01322163 ,17.0817447
Parnips_nigripes_USNMENT01322129 ,34.5828885
Mikeius_hartigi_USNMENT01322169 ,54.5882263
Plectocynips_pilosus_USNMENT01322170 ,52.2937319
Neuroscelio_doddi_OSUC_0147252 ,81.5456764
Sparasion_cullaris_USNMENT01322137 ,14.7033704
Paridris_minator_USNMENT01322139 ,28.3490926
Waldheimia_carbonaria_USNMENT01322216 ,23.2217478
Evaniella_semaeoda_USNMENT01322217 ,19.4768949
Tremex_columba_USNMENT01322218 ,9.2824462
Lagium_atroviolaceum_USNMENT01322219 ,14.5195974
Cladius_difformis_USNMENT01322223 ,24.8818057
Schizocerella_lineata_USNMENT01322224 ,36.2170200
Acordulecera_pellucida_USNMENT01322225 ,50.5147171
Macrophya_trisyllaba_USNMENT01322226 ,18.0715266
Gasteruption_assectator_USNMENT01322227 ,20.4529510
Pristaulacus_stigmaterus_USNMENT01322229 ,8.3117279
Xyela_bakeri_USNMENT01322230 ,12.8946164
Taxonus_pallipes_USNMENT01322231 ,15.9295409
Ibalia_anceps_USNMENT00653903 ,10.9097148
Ropronia_garmani_USNMENT0653896 ,12.1640994
Striatovertex_sp_USNMENT00653899 ,13.6075949
Gronotoma_sp_USNMENT00877589 ,26.7027604
Andricus_sp_USNMENT00877721 ,29.2420314
Trybliographa_sp_USNMENT00877722 ,16.8423059
Bracon_sp1_USNMENT01322232 ,21.6829343
Aleiodes_sp1_USNMENT01322233 ,14.4143663
Apanteles_sp4_USNMENT01322237 ,28.2072594
Hymenochaonia_sp2_USNMENT01322244 ,20.9623303
Phanacis_sp_USNMENT00653613 ,65.7785573
Pseudibalia_sp_USNMENT01339677 ,47.5369834
Archaeoteleia_mellea_OSUC_203348 ,10.5429312
Nixonia_watshami_USNMENT01109338 ,11.1933811
Eurytoma_obtusiventris_USNMENT01339653 ,12.5369834
Bruchophagus_gibbus_USNMENT01339648 ,13.0326369
Prodecatoma_vitis_USNMENT01339596 ,13.6365716
Heimbra_opaca_USNMENT01339599 ,24.4341925
Prodecatomidea_sp_USNMENT01339601 ,32.5903614
Ganaspis_sp2_USNMENT01339603 ,26.9132225
Xyalaspis_sp_USNMENT01339604 ,13.4535611
