Species,TotalMiss
Acanthognathus_ocellatus_CASENT0636076 ,12.2690362
Acanthomyrmex_sp_FMNHINS0003471823 ,12.2858575
Acanthoponera_minor_CASENT0633283 ,9.2649397
Acanthostichus_serratulus_CASENT0732042 ,12.7878596
Acromyrmex_octospinosus_FMNHINS0003145509 ,19.0513414
Acropyga_sp_FMNHINS0003471605 ,10.7613808
Adelomyrmex_longinoi_CASENT0634310 ,14.8173069
Adetomyrma_caputleae_CASENT0500384 ,21.2991365
Adlerzia_froggatti_CASENT0227591 ,12.8346955
Aenictogiton_sp_CUIC000002024 ,21.1728114
Aenictus_sp_FMNHINS0003471835 ,18.9098441
Agraulomyrmex_tz01_CASENT0217051 ,91.1658190
Allomerus_octoarticulatus_FMNHINS0003145672 ,12.7495993
Amblyopone_sp_FMNHINS0003471760 ,15.2935822
Amoimyrmex_striatus_USNMENT00924113 ,87.2777767
Ampulex_compressa_CUICBND1382 ,85.6256555
Ancyridris_polyrhachioides_CASENT0106303 ,20.3185503
Aneuretus_simoni_RA0258atMCZ ,13.8545315
Anillomyrma_sp_CUIC000002091 ,26.6361244
Anochetus_mayri_FMNHINS0003165063 ,10.0426801
Protanilla_boltoni_CASENT0217032 ,19.0107723
Anonychomyrma_gilberti_FMNHINS0003145264 ,11.8399266
Anoplolepis_gracilipes_FMNHINS0003471834 ,18.7828594
Aphaenogaster_pythia_FMNHINS0003145019 ,12.2466077
Aphomomyrmex_afer_CASENT0217049 ,78.5098916
Apis_mellifera_CUIC000115660 ,45.6904343
Apomyrma_stygia_RA0120atMCZ ,42.0801092
Apterostigma_sp_FMNHINS0003145668 ,11.3478195
Aretidris_buenaventei_CASENT0106232 ,14.4901150
Atopomyrmex_mocquerysi_FMNHINS0003471580 ,12.0431023
Atta_cephalotes_FMNHINS0003145587 ,12.5236653
Axinidris_lignicola_RA0253atMCZ ,41.3083058
Azteca_trigona_FMNHINS0003165069 ,17.9510268
Bajcaridris_theryi_CASENT0235255 ,89.2577494
Basiceros_manni_INB0003621345 ,11.7139314
Blepharidatta_brasiliensis_USNMENT00439550 ,92.1374998
Bothriomyrmex_meridionalis_RA0342atMCZ ,16.7600087
Bothroponera_sp_FMNHINS0003471536 ,12.4115230
Brachycistis_timberlakei_CASENT0106315 ,44.8988410
Brachymyrmex_depilis_CASENT0106038 ,85.8865515
Brachyponera_sennaarensis_FMNHINS0003165604 ,10.6630913
Calomyrmex_sp_FMNHINS0003145024 ,12.1229212
Calyptomyrmex_sp_CUIC000115661 ,38.5331117
