Species,TotalMiss
EB_0a ,32.161222
EB_103 ,21.542639
EB_109 ,28.100127
EB_110 ,17.238863
EB_131 ,56.642059
EB_132 ,43.635695
EB_137 ,59.060387
EB_138 ,27.998869
EB_14 ,8.418046
EB_140 ,50.580682
EB_141 ,50.018951
EB_147 ,10.354405
EB_151 ,18.344789
EB_18 ,29.138170
EB_19 ,17.614482
EB_2 ,13.777401
EB_20 ,49.708386
EB_21 ,49.557913
EB_23 ,49.022769
EB_29 ,50.091925
EB_32 ,11.387357
EB_33 ,18.074954
EB_34 ,24.373922
EB_39 ,17.688587
EB_42 ,38.263895
EB_43 ,15.687173
EB_44 ,17.563004
EB_45 ,10.558620
EB_46 ,16.554377
EB_47 ,10.163768
EB_48 ,14.782068
EB_49 ,11.385660
EB_50 ,14.615754
EB_52 ,21.968038
EB_54 ,34.316504
EB_59 ,25.789846
EB_60 ,38.659878
EB_61 ,27.965493
EB_62 ,25.515486
EB_63 ,53.900156
EB_65 ,51.577995
EB_67 ,23.701881
EB_69 ,43.605713
EB_70 ,20.306604
EB_71 ,23.592703
EB_73 ,23.051902
EB_75 ,25.511526
EB_76 ,14.022345
EB_78 ,18.995899
EB_80 ,12.181587
EB_83 ,7.817848
EB_87 ,10.694951
EB_x002 ,14.206194
EB_x187 ,7.675293
EB_x229 ,8.579833
EB_x230 ,23.399236
EB_x287 ,10.938764
T_1185 ,24.551549
T_1194 ,29.004667
T_1195 ,21.315797
T_1198 ,21.319191
T_1199 ,24.309433
T_1200 ,18.594824
T_1201 ,31.395276
EB_128 ,22.352708
EB_134 ,60.894923
EB_145 ,25.941451
EB_16 ,15.172960
EB_51 ,84.513647
EB_53 ,28.339980
EB_55 ,54.735681
EB_57 ,74.861830
EB_79 ,9.571489
EB_82 ,8.610380
EB_x045 ,6.115684
EB_x140 ,6.935370
EB_x254 ,49.378023
T_426 ,31.047377
EB_129 ,43.260076
EB_25 ,62.041013
EB_35 ,70.413237
EB_37 ,21.496818
EB_142 ,65.965210
T_1157 ,63.327394
T_1160 ,75.102814
EB_143 ,58.737378
EB_136 ,77.362749
EB_144 ,71.340404
EB_66 ,62.442653
EB_119 ,94.924056
T_1186 ,85.691981
EB_133 ,84.530618
EB_126 ,98.623108
EB_113 ,94.324424
EB_117 ,94.133786
EB_121 ,89.013718
EB_122 ,92.359779
EB_112 ,94.263895
EB_114 ,98.779239
EB_135 ,98.635554
