Species,TotalMiss
Ablautus_rufotibialis_JC5 ,44.670231
Afroestricus_chiastoneurus_PC10 ,40.384387
Agrostomyia_sp_JC2 ,39.685184
Amathomyia_antennata_LC1 ,23.891418
Amphisbetetus_sp_FC12 ,42.623511
Apiocera_parkeri_transcriptome ,63.117903
Apiocera_sp_CC6 ,50.921930
Apiocera_sp_GC6 ,40.065110
Aplestobroma_sp_BC1 ,33.100266
Apothechyla_sp_F9 ,46.276377
Atomosia_sp_EC4 ,24.797663
Austrosaropogon_sp_FC5 ,53.507518
Backomyia_sp_KC10 ,44.780375
Bathypogon_sp_DC7 ,51.817022
Bohartia_martini_EC2 ,53.574441
Bombylis_major_transcriptome ,66.051349
Broticosia_sp_FC8 ,58.883645
Callinicus_sp_CC3 ,49.474726
Ceraturgus_sp_BC6 ,71.083103
Choerades_sp_GC11 ,42.555891
Chrysopogon_sp_BC2 ,45.370829
Chylophaga_sp_JC9 ,40.309099
Chylophaga_sp_KC5 ,36.318831
Comantella_sp_KC8 ,44.794317
Cophura_sp_EC10 ,56.698896
Cyrtopogon_sp_F3 ,64.835586
Daptolestes_limbipennis_EC11 ,42.488968
Daptolestes_sergius_IC6 ,35.393067
Dasypogon_diadema_GC8 ,36.960871
Dicolonus_sparsipilosus_EC12 ,42.139018
Dioctria_formicaphaga_EC7 ,57.276802
Dioctria_hyalipennis_FC2 ,64.523977
Diogmites_sp_IC8 ,41.280176
Eccritosia_zamon_JC3 ,29.473890
Echthodopa_formosa_EC5 ,43.902014
Eucyrtopogon_sp_JC12 ,40.033740
Eudioctria_media_transcriptome ,66.397117
Eudioctria_nitida_AK1 ,51.824690
Hadrokolos_sp_LC12 ,50.249217
Holcocephala_sp_DC3 ,51.881156
Hullia_commoni_EC9 ,55.603734
Ivettea_sp_KC3 ,78.176913
Laloides_sp_KC6 ,33.497619
Lampria_rubriventris_JC4 ,39.559007
Laphria_sadales_BK1 ,35.032660
Laphria_sp_PC12 ,30.334823
Laphriinae_sp_LC11 ,33.116299
Laphystia_limatula_transcriptome ,68.929027
Laphystia_sp_JC11 ,30.853474
Lasiopogon_sp_CC4 ,28.017623
Leptogaster_sp_BC5 ,37.755579
