Species,TotalMiss
PROS_0003G ,83.3144875
VITA_0010G ,18.7169813
VITA_0024G ,18.0120759
VITA_0044G ,18.0008695
VITA_0038G ,18.0290118
NHAN_0002G ,77.2682769
VITA_0035G ,17.9408776
VITA_0007G ,40.0991384
EUPA_0003G ,19.4601399
PROS_0002G ,22.3194470
PTER_0007G ,18.0054195
VITA_0032G ,26.2508573
VITA_0011G ,68.5664116
VITA_0001G ,32.1194514
VITA_0023G ,18.7685474
PTER_0003G ,92.9474076
PTER_0004G ,18.2481678
APH_3056G ,15.6804789
VITA_0015G ,71.5299463
EUPA_0001G ,39.7961453
VITA_0028G ,17.8096031
VITA_0002G ,22.1023975
VITA_0005G ,55.2909188
VITA_0039G ,62.2096247
AUMS_10968G ,15.7611141
ACAN_0001G ,18.3521426
VITA_0034G ,56.9353048
VITA_0004G ,17.1778340
PTER_0006G ,18.5781235
VITA_0018G ,18.0127500
VITA_0020G ,17.1353678
VITA_0036G ,17.7893811
VITA_0042G ,19.1539451
VITA_0026G ,19.7160325
VITA_0040G ,75.5749368
PROS_0004G ,75.7319102
EUPA_0002G ,33.5672626
VITA_0016G ,58.6150792
VITA_0043G ,14.3735476
PTER_0005G ,17.3068335
VITA_0045G ,20.6971367
APH_0645G ,14.8700821
VITA_0029G ,72.8138750
VITA_0017G ,17.2324334
PROS_0001G ,25.3853556
VITA_0021G ,17.3700273
PTER_0009G ,17.8944513
VITA_0009G ,17.5336570
NHAN_0003G ,18.5645579
VITA_0019G ,17.8870365
VITA_0025G ,17.6542307
VITA_0030G ,18.7537179
VITA_0014G ,19.0031226
VITA_0008G ,21.7247516
VITA_0022G ,28.6020023
LASI_0002G ,22.3230701
APH_3004G ,15.9828821
LASI_0001G ,18.7172340
NHAN_0001G ,18.9620888
VITA_0037G ,18.2072182
PTER_0002G ,83.2387393
VITA_0027G ,35.6693399
VITA_0013G ,17.7136328
