Species,TotalMiss
Aplogompha_lafayi_FLAJ145 ,76.496317
Aplogompha_sp_FLAJ101 ,26.541035
Argyrotome_arcuata_FLAJ46 ,70.105050
Argyrotome_alba_FLAJ90 ,19.318547
Argyrotome_cf_arcuata_FLAJ102 ,61.093023
Argyrotome_mira_FLAJ76 ,13.825973
Argyrotome_cf_mira_FLAJ91 ,15.843421
Argyrotome_cf_prospectata_FLAJ95 ,14.378290
Argyrotome_ferruginea_FLAJ136 ,51.862894
Argyrotome_melae_FLAJ61 ,18.744263
Argyrotome_prospectata_FLAJ94 ,8.223563
Argyrotome_tenebrosa_FLAJ141 ,74.298032
Iridopsis_defectaria_FLAJ109 ,26.633219
Lomographa_sp_FLAJ92 ,19.077693
Lomographa_sp_FLAJ93 ,24.324314
Opisthoxia_metargyria_FLAJ77 ,17.312867
Opisthoxia_claudiaria_FLAJ24 ,14.572464
Opisthoxia_salubaea_FLAJ52 ,15.368381
Ophthalmoblysis_ibarrai_FLAJ82 ,23.628033
Ophthalmoblysis_lydius_FLAJ35 ,79.393628
Opisthoxia_vitenaria_FLAJ58 ,5.333705
Opisthoxia_amphiaria_FLAJ18 ,70.351396
Opisthoxia_asopis_FLAJ50 ,9.081459
Opisthoxia_bracteata_FLAJ26 ,26.707358
Opisthoxia_cassandra_FLAJ51 ,14.696814
Opisthoxia_cf_bella_FLAJ99 ,42.215780
Opisthoxia_cf_trimaculata_FLAJ29 ,11.432729
Opisthoxia_contariata_FLAJ131 ,56.273193
Opisthoxia_corinnaria_FLAJ110 ,60.776461
Opisthoxia_danaeata_FLAJ27 ,60.320642
Opisthoxia_dora_FLAJ17 ,67.747111
Opisthoxia_eusiraria_FLAJ97 ,11.972886
Opisthoxia_formosante_FLAJ54 ,10.959651
Opisthoxia_miletia_FLAJ48 ,4.503660
Opisthoxia_nr_uncinata_FLAJ146 ,28.581628
Opisthoxia_saturniaria_FLAJ80 ,57.123636
Opisthoxia_uncinata_FLAJ55 ,6.853754
Opisthoxia_amphiaria_FLAJ19 ,60.334764
Palyas_pallicosta_FLAJ119 ,74.761303
Phrygionis_auriferaria_FLAJ83 ,40.620023
Phrygionis_auriferaria_FLAJ84 ,30.863074
Phrygionis_cf_polita_FLAJ70 ,23.812400
Phrygionis_dominica_FLAJ122 ,16.698179
Phrygionis_paradoxata_FLAJ04 ,29.632129
Phrygionis_paradoxata_FLAJ124 ,51.537701
Phrygionis_platinata_FLAJ02 ,63.370939
Phrygionis_platinata_FLAJ86 ,7.593576
Phrygionis_platinata_platinata_FLAJ107 ,74.557715
Phrygionis_polita_FLAJ07 ,10.004080
Phrygionis_privignaria_FLAJ57 ,18.412794
Phrygionis_privignaria_FLAJ67 ,19.677083
Pityeja_histrionaria_FLAJ88 ,24.807983
Pityeja_nazada_FLAJ87 ,32.200325
Plutodes_costatus_FLAJ150 ,12.655830
Plutodes_costatus_FLAJ151 ,28.541224
Tasta_micaceata_FLAJ148 ,47.551839
Tasta_micaceata_FLAJ149 ,11.884625
Argyrotome_melae_FLAJ59 ,26.366475
Opisthoxia_cf_mononaria_FLAJ62 ,17.368570
Opisthoxia_danaeata_FLAJ37 ,62.171767
Opisthoxia_hybridata_FLAJ79 ,15.294635
Opisthoxia_cf_boliviari_FLAJ22 ,63.939732
Opisthoxia_cf_boliviari_FLAJ98 ,27.609581
Opisthoxia_cf_mononaria_FLAJ100 ,20.204687
Opisthoxia_metargyria_FLAJ133 ,45.791328
Opisthoxia_sp_FLAJ63 ,11.680252
Palyas_micaceraria_FLAJ89 ,18.936868
Palyas_divitaria_FLAJ118 ,79.147282
Phrygionis_cf_polita_FLAJ78 ,16.832728
Opisthoxia_claudiaria_FLAJ115 ,82.410974
Argyrotome_mexicaria_FLAJ96 ,30.385288
Ophthalmoblysis_croesus_FLAJ34 ,86.208939
Opisthoxia_formosante_FLAJ117 ,79.044899
