Species,TotalMiss
AKH03_L2_S2 ,93.682182
AKH04_L1_S3 ,77.026671
AKH05_L2_S21 ,80.356962
AKH06_L1_S22 ,58.008316
AKH58_L1_S59 ,23.330291
AM0001_L1_S1 ,7.486056
AM0004_L1_S41 ,5.532907
AM0005_L1_S11 ,13.087922
AM0009_L1_S9 ,34.789575
AM0010_L1_S3 ,31.445087
AM0011_L1_S31 ,90.824460
AM0016_L1_S41 ,15.495386
AM0017_L1_S1 ,9.333739
AM0018_L1_S1 ,6.188013
AM0020_L1_S12 ,4.512727
AM0024_Cl_S1 ,11.031336
AM0028_L1_S23 ,9.540615
AM0029_L1_S33 ,8.796268
AM0040_L1_S11 ,48.944326
AM0049_L1_S2 ,6.200183
AM0051_L1_S11 ,11.019166
AM0054_L1_S1 ,10.051719
AM0055_L1_S15 ,29.360105
AM0062_L1_S22 ,8.739479
AM0067_L1_S4 ,5.494372
AM0071_L1_S3 ,9.449346
AM0072_A_S4 ,30.818375
AM0073_L1_S24 ,8.808437
AM0084_L1_S13 ,75.860460
AM0088_L1_S22_L1_S4 ,63.401278
AM0091_L1_S16 ,79.839773
AM0100_L1_S7 ,7.583409
AM0101_L1_S8 ,52.481493
AM0108_L1_S5 ,79.539600
AM0121_L1_S28 ,62.703580
AM0128_L1_S16 ,8.593449
AM0130_L1_S17 ,4.021904
AM0136_L1_S5 ,7.171686
AM0137_L1_S9 ,9.122807
AM0140_L1_S28 ,6.881655
AM0141_L1_S29 ,9.402697
AM0142_L1_S37 ,10.362032
AM0144_L1_S18 ,9.185681
AM0145_L1_S38 ,16.961769
AM0147_L1_S5 ,81.827401
AM0150_L1_S23 ,12.779637
AM0164_L2_S40 ,84.253118
AM0165_L1_S6 ,86.145421
AM0167_L1_S10 ,15.343271
AM0168_L1_S19 ,10.546598
AM0170_L1_S30 ,9.349965
AM0173_L1_S14_L1_S9 ,60.991786
AM0178_L1_S48 ,24.182132
AM0182_L1_S7 ,29.978704
AM0193a_L1_S8 ,13.304939
AM0194_L1_S20 ,83.620322
AM0195_L1_S40 ,73.854579
AM0196_L1_S40 ,13.280600
AM0196a_L1_S6 ,60.235270
AM0198_L1_S27_L1_S11 ,58.774972
AM0201_S3 ,11.546496
AM0202_S29 ,11.163168
AM0203_S30 ,8.149275
AM0205_S11 ,75.540006
AM0206_S2 ,2.508873
AM0207_S8 ,15.004563
AM0208_S9 ,11.797992
AM0209_S3 ,10.378258
AM0210_S10 ,13.546293
AM192a_L2_S43 ,87.473887
AM194a_L2_S9 ,12.568705
AM204_L2_S20 ,15.592739
ENT120_AKH30 ,55.278369
ENT121_L1_S14 ,29.715039
ENT128_L1_S2 ,62.182334
ENT129_L1_S3 ,13.091979
ENT130_L1_S4 ,25.885813
ENT131_L1_S5 ,17.681777
ENT132_L1_S6 ,27.382618
ENT133_L1_S4 ,13.643647
ENT134_L1_S1 ,16.081533
ENT135_L1_S19 ,17.700030
ENT138_L1_S8 ,9.143089
ENT139_L1_S5 ,9.459487
ENT141_L1_S9 ,11.808133
ENT161_L1_S15 ,10.013183
ENT184_L1_S15 ,22.924653
ENT217_L1_S14 ,15.933475
ENT247_L1_S31 ,16.564243
ENT256_L1_S25 ,31.215901
ENT83_L1_S22 ,73.511814
ENT84_AKH02 ,74.797688
ENT85_L1_S24 ,28.589393
JDL71_S9 ,75.625190
diochus_sp ,52.607241
lathrobium_brunnipes ,9.573066
othius_punctulatus ,41.504918
paederus_litocharis ,62.470338
philonthus_decorus ,29.104553
quedius_fuliginosus ,50.633810
