Species,TotalMiss
Maratus_sp_JXZ159a ,13.8384596
Sinopoda_sp_ZYL139 ,31.7672761
Allagelena_difficilis_JXZ592a ,51.8035597
Trichonephila_clavipes ,11.9360187
Plexippoides_regius_JXZ423 ,54.5836731
Zelotes_wuchangensis_ZYL173 ,16.0821268
Rhomphaea_sp_JXZ609 ,26.1367702
Argiope_bruennichi ,13.4532861
Chericanthium_insigne_ZYL082 ,3.9421713
Xysticus_kansuensis_ZYL191 ,41.8418955
Stegodyphus_mimosarum ,8.3806552
Attulus_sinensis_JXZ421 ,12.0602331
Cheiracanthium_taegense_ZYL137 ,12.5231313
Marpissa_milleri_JXZ425 ,7.0455326
Ovia_alboannulata_JXZ610 ,6.9465606
Plator_insolens_JXZ602b ,17.8053285
Hahnia_zhejiangensis_ZYL162 ,23.7725207
Attulus_fasciger_JXZ416 ,5.4952139
Tetragnatha_praedonia_JXZ594 ,54.0145389
Ummeliata_feminea_JXZ604 ,44.5871416
Anelosimus_studiosus ,17.3535079
Calommata_signata_JXZ606 ,63.0652979
Pisaura_bicornis_ZYL165 ,40.7688215
Pardosa_pseudoannulata ,11.7936444
Parasteatoda_tepidariorum ,10.7251104
Araneus_ventricosus ,16.1647547
Clubiona_pseudogermanica_YCH205 ,7.1101821
Corythalia_opima_JXZ418 ,16.2891507
Anahita_fauna_ZYL195a ,24.6681715
Matidia_sp_ZYL148 ,13.2664198
Mallinella_zhui_ZYL190 ,19.1528000
Spartaeus_jaegeri_JXZ588 ,8.2192129
Acanthoscurria_geniculata ,41.8625979
Synagelides_agoriformis_JXZ424 ,4.5857615
Trichonephila_clavata_JXZ596 ,47.9999492
Habronattus_ophrys_JXZ426 ,55.8069302
Pardosa_laura ,7.5799811
Thiania_bhamoensis_JXZ591 ,37.9988777
Telamonia_caprina_JXZ569 ,10.3699009
Latrodectus_hesperus ,31.3848266
Argyroneta_aquatica ,7.4299796
Oxyopes_sushilae_ZYL174 ,12.6871160
Thanatus_sp_YHD021 ,11.8365019
Stegodyphus_dumicola ,10.2146330
Myrmarachne_formicaria_JXZ414 ,8.1941521
Pholcus_manueli_JXZ600 ,50.8372665
Dictyna_foliicola_ZYL194 ,48.7890009
Dysdera_silvatica ,47.2713702
Evarcha_albaria_JXZ412 ,4.5238359
Portia_heteroidea_JXZ415 ,3.4231587
Parabathippus_shelfordi_JXZ417 ,49.1147911
Hamadruas_sikkimensis_JXZ616 ,17.2390999
Oxytate_parallela_ZYL156 ,27.3649305
Mendoza_nobilis_JXZ419 ,6.3501864
Loxosceles_reclusa ,45.5605173
Pireneitega_luctuosa_ZYL167 ,21.1896248
Orthobula_crucifera_JXZ601 ,28.3619141
