Locus,CompletenessValue
uce_39u,100
uce_974u,98.6
uce_586u,98.6
uce_535u,98.6
uce_169u,98.6
uce_1473u,98.6
uce_878u,97.3
uce_841u,97.3
uce_801u,97.3
uce_592u,97.3
uce_38u,97.3
uce_1682u,97.3
uce_1397u,97.3
uce_1290u,97.3
uce_116u,97.3
uce_800u,95.9
uce_678u,95.9
uce_57u,95.9
uce_521u,95.9
uce_40u,95.9
uce_381u,95.9
uce_36u,95.9
uce_298u,95.9
uce_234u,95.9
uce_1794u,95.9
uce_1564u,95.9
uce_1319u,95.9
uce_13u,95.9
uce_1132u,95.9
uce_1031u,95.9
uce_634u,94.5
uce_566u,94.5
uce_425u,94.5
uce_1736u,94.5
uce_1576u,94.5
uce_1557u,94.5
uce_15u,94.5
uce_1420u,94.5
uce_1216u,94.5
uce_1151u,94.5
uce_883u,93.2
uce_465u,93.2
uce_408u,93.2
uce_240u,93.2
uce_2074u,93.2
uce_2069u,93.2
uce_1812u,93.2
uce_1781u,93.2
uce_1748u,93.2
uce_1599u,93.2
uce_871u,91.8
uce_799u,91.8
uce_7u,91.8
uce_518u,91.8
uce_344u,91.8
uce_1934u,91.8
uce_1815u,91.8
uce_1577u,91.8
uce_1463u,91.8
uce_1119u,91.8
uce_1089u,91.8
uce_1072u,91.8
uce_825u,90.4
uce_571u,90.4
uce_1974u,90.4
uce_1853u,90.4
uce_1817u,90.4
uce_1633u,90.4
uce_14u,90.4
uce_108u,90.4
uce_875u,89.0
uce_802u,89.0
uce_438u,89.0
uce_419u,89.0
uce_34u,89.0
uce_332u,89.0
uce_327u,89.0
uce_282u,89.0
uce_1588u,89.0
uce_1367u,89.0
uce_1288u,89.0
uce_1206u,89.0
uce_585u,87.7
uce_470u,87.7
uce_453u,87.7
uce_331u,87.7
uce_302u,87.7
uce_248u,87.7
uce_222u,87.7
uce_2033u,87.7
uce_1808u,87.7
uce_1787u,87.7
uce_1583u,87.7
uce_1224u,87.7
uce_114u,87.7
uce_1041u,87.7
uce_1027u,87.7
uce_1012u,87.7
uce_948u,86.3
uce_934u,86.3
uce_833u,86.3
uce_823u,86.3
uce_733u,86.3
uce_608u,86.3
uce_354u,86.3
uce_23u,86.3
uce_2039u,86.3
uce_2016u,86.3
uce_2002u,86.3
uce_1923u,86.3
uce_1922u,86.3
uce_1905u,86.3
uce_1901u,86.3
uce_1804u,86.3
uce_1446u,86.3
uce_1415u,86.3
uce_139u,86.3
uce_1349u,86.3
uce_1121u,86.3
uce_805u,84.9
uce_742u,84.9
