Locus,CompletenessValue
uce_573u,93
uce_286u,92
uce_24u,92
uce_510u,90
uce_274u,90
uce_965u,89
uce_956u,89
uce_445u,89
uce_74u,89
uce_1079u,88
uce_996u,88
uce_990u,88
uce_784u,88
uce_502u,88
uce_297u,88
uce_189u,88
uce_1187u,87
uce_1176u,87
uce_823u,87
uce_805u,87
uce_798u,87
uce_778u,87
uce_336u,87
uce_165u,87
uce_112u,87
uce_1086u,86
uce_938u,86
uce_719u,86
uce_455u,86
uce_443u,86
uce_178u,86
uce_81u,86
uce_1225u,85
uce_1105u,85
uce_692u,85
uce_654u,85
uce_650u,85
uce_612u,85
uce_493u,85
uce_374u,85
uce_333u,85
uce_222u,85
uce_157u,85
uce_61u,85
uce_57u,85
uce_29u,85
uce_1219bu,84
uce_999u,84
uce_989u,84
uce_750u,84
uce_621u,84
uce_605u,84
uce_384u,84
uce_325u,84
uce_114u,84
uce_100u,84
uce_25u,84
uce_1061u,83
uce_983au,83
uce_958u,83
uce_924u,83
uce_902u,83
uce_849u,83
uce_641u,83
uce_569u,83
uce_558u,83
uce_459u,83
uce_398u,83
uce_346u,83
uce_247u,83
uce_187u,83
uce_175u,83
uce_1059u,82
uce_959u,82
uce_891u,82
uce_666u,82
uce_649u,82
uce_544u,82
uce_453u,82
uce_293u,82
uce_241u,82
uce_142u,82
uce_26u,82
uce_1011u,81
uce_673u,81
uce_313u,81
uce_266u,81
uce_259u,81
uce_49u,81
uce_1183u,80
uce_1140u,80
uce_1106u,80
uce_1082u,80
uce_1073u,80
uce_1055u,80
uce_907u,80
uce_749u,80
uce_700u,80
uce_596u,80
uce_568u,80
uce_500u,80
uce_354u,80
uce_221u,80
uce_113u,80
uce_62u,80
uce_11u,80
uce_1203u,79
uce_1113u,79
uce_1039u,79
uce_1012u,79
uce_982u,79
uce_888u,79
uce_861u,79
uce_725u,79
uce_720u,79
uce_615u,79
uce_463u,79
uce_376u,79
uce_317u,79
uce_310u,79
uce_306u,79
uce_236u,79
uce_215u,79
uce_202u,79
uce_151u,79
uce_107u,79
uce_54u,79
uce_6u,79
uce_1130u,78
uce_980bu,78
uce_885u,78
uce_707u,78
uce_495u,78
uce_488u,78
uce_466u,78
uce_421u,78
uce_412u,78
uce_379u,78
uce_237u,78
uce_216u,78
uce_127u,78
uce_92u,78
uce_2u,78
uce_1042u,77
uce_1041u,77
uce_980au,77
uce_923u,77
uce_918u,77
uce_845u,77
uce_837u,77
uce_836u,77
uce_808u,77
uce_627u,77
uce_604u,77
uce_603u,77
uce_458u,77
uce_397u,77
uce_392u,77
