Locus,CompletenessValue
uce4626u,96.5
uce4604u,96.5
uce20004661u,96.5
uce4439u,94.7
uce3096u,94.7
uce20009107u,94.7
uce20007762u,94.7
uce20000387u,94.7
uce8981u,93.0
uce8882u,93.0
uce7365u,93.0
uce3520u,93.0
uce3193u,93.0
uce2203u,93.0
uce2130u,93.0
uce20006207u,93.0
uce20006204u,93.0
uce20003382u,93.0
uce11928u,93.0
uce11774u,93.0
uce10913u,93.0
uce10841u,93.0
uce10270u,93.0
uce9953u,91.2
uce8978u,91.2
uce8731u,91.2
uce8531u,91.2
uce7633u,91.2
uce6997u,91.2
uce6765u,91.2
uce6606u,91.2
uce6212u,91.2
uce5909u,91.2
uce523u,91.2
uce5107u,91.2
uce3654u,91.2
uce3529u,91.2
uce273u,91.2
uce2111u,91.2
uce20009760u,91.2
uce20009224u,91.2
uce20004521u,91.2
uce20003544u,91.2
uce20003531u,91.2
uce20003236u,91.2
uce20003018u,91.2
uce20002605u,91.2
uce20002226u,91.2
uce20000230u,91.2
uce20000073u,91.2
uce12985u,91.2
uce12939u,91.2
uce12938u,91.2
uce12414u,91.2
uce11439u,91.2
uce1089u,91.2
uce10839u,91.2
uce10824u,91.2
uce10507u,91.2
uce10210u,91.2
uce982u,89.5
uce9103u,89.5
uce8328u,89.5
uce8118u,89.5
uce7956u,89.5
uce7903u,89.5
uce7612u,89.5
uce7495u,89.5
uce7089u,89.5
uce7003u,89.5
uce6976u,89.5
uce6398u,89.5
uce6273u,89.5
uce59u,89.5
uce5168u,89.5
uce5064u,89.5
uce5037u,89.5
uce4462u,89.5
uce4256u,89.5
uce4056u,89.5
uce3541u,89.5
uce3202u,89.5
uce3113u,89.5
uce2831u,89.5
uce2122u,89.5
uce20005648u,89.5
uce20005093u,89.5
uce20003689u,89.5
uce20002952u,89.5
uce20002287u,89.5
uce20001524u,89.5
uce20001274u,89.5
uce20000841u,89.5
uce20000152u,89.5
uce20000054u,89.5
uce1977u,89.5
uce191u,89.5
uce1829u,89.5
uce1690u,89.5
uce1625u,89.5
uce14111u,89.5
uce14069u,89.5
uce13880u,89.5
uce1374u,89.5
uce13293u,89.5
uce13077u,89.5
uce13075u,89.5
uce12635u,89.5
uce12553u,89.5
uce12475u,89.5
uce12225u,89.5
uce11657u,89.5
uce11590u,89.5
uce11410u,89.5
uce11243u,89.5
uce10840u,89.5
uce10518u,89.5
uce10495u,89.5
uce10483u,89.5
uce1009u,89.5
uce10010u,89.5
uce9898u,87.7
uce9853u,87.7
uce969u,87.7
uce9589u,87.7
uce9551u,87.7
uce9389u,87.7
uce9268u,87.7
uce9226u,87.7
uce9218u,87.7
uce9183u,87.7
uce9089u,87.7
uce9066u,87.7
uce9020u,87.7
uce8865u,87.7
uce83u,87.7
uce8073u,87.7
uce8022u,87.7
uce798u,87.7
uce7868u,87.7
uce7858u,87.7
uce7824u,87.7
uce7548u,87.7
uce7220u,87.7
uce7180u,87.7
uce6758u,87.7
uce6467u,87.7
uce6099u,87.7
uce5950u,87.7
uce5926u,87.7
uce5694u,87.7
uce530u,87.7
uce4982u,87.7
uce4444u,87.7
uce4075u,87.7
uce407u,87.7
uce3749u,87.7
uce3697u,87.7
uce3584u,87.7
uce3540u,87.7
uce3329u,87.7
uce3216u,87.7
uce3135u,87.7
uce2999u,87.7
uce20010331u,87.7
uce20010147u,87.7
uce20009917u,87.7
uce20009901u,87.7
uce20009845u,87.7
uce20009833u,87.7
uce20009554u,87.7
uce20009089u,87.7
uce20008609u,87.7
uce20007828u,87.7
