Locus,CompletenessValue
p1205uce-171u,98.6
p1255uce-649u,97.6
p1239uce-577u,97.3
p1223uce-330u,97.3
p1197uce-1497u,97.3
p1194uce-1447u,97.3
p1281uce-947u,96.9
p1253uce-64u,96.9
p1283uce-98u,96.6
p1260uce-728u,96.6
p1241uce-588u,96.6
p1222uce-278u,96.6
p1189uce-1392u,96.6
p1184uce-132u,96.6
p961uce-1239u,96.6
p385uce-1099u,96.6
p1277uce-929u,96.2
p1248uce-616u,96.2
p1219uce-270u,96.2
p1210uce-194u,96.2
p1209uce-192u,96.2
p1207uce-188u,95.9
p1269uce-82u,95.5
p1188uce-1391u,95.5
p983uce-1245u,95.5
p1245uce-6u,95.2
p1235uce-449u,95.2
p1195uce-1457u,95.2
p1179uce-13u,95.2
p782uce-120u,95.2
p1183uce-131u,94.9
p954uce-1238u,94.9
p1266uce-794u,94.5
p1257uce-659u,94.5
p1182uce-1304u,94.5
p435uce-1109u,94.5
p1282uce-975u,94.2
p1272uce-847u,94.2
p1212uce-205u,94.2
p1285uce-983u,93.8
p1270uce-820u,93.8
p1254uce-643u,93.8
p1221uce-276u,93.8
p193uce-1047u,93.8
p1204uce-168u,93.5
p1268uce-809u,93.2
p1228uce-366u,93.2
p1225uce-35u,93.2
p244uce-106u,93.2
p1267uce-797u,92.8
p1258uce-682u,92.5
p1238uce-557u,92.5
p1213uce-212u,92.5
p1275uce-896u,92.1
p1217uce-256u,92.1
p1214uce-220u,92.1
p1185uce-1366u,92.1
p1036uce-1257u,92.1
p557uce-114u,92.1
p291uce-1075u,92.1
p1279uce-945u,91.8
p682uce-11763u,91.8
p1274uce-888u,91.4
p1259uce-686u,91.4
p1264uce-791u,91.1
p1265uce-793u,90.8
p1233uce-446u,90.8
p1229uce-382u,90.8
p1155uce-129u,90.8
p1247uce-615u,90.4
p1242uce-591u,90.4
p1234uce-448u,90.4
p1240uce-583u,90.1
p817uce-1207u,90.1
p450uce-1112u,90.1
p1237uce-50u,89.7
p593uce-1149u,89.4
p1262uce-786u,88.7
p1218uce-257u,88.7
p1208uce-19u,88.4
p1251uce-620u,88.0
p1249uce-617u,88.0
p1196uce-1484u,87.7
p1224uce-348u,87.3
p521uce-113u,87.3
p359uce-1092u,87.3
p1226uce-359u,87.0
p901uce-1225u,87.0
p776uce-11989u,87.0
p123uce-10327u,86.6
p1uce-100u,86.6
p1252uce-638u,86.3
p874uce-12200u,86.3
p46uce-10104u,86.3
p189uce-10464u,86.0
p34uce-10072u,86.0
p1141uce-12858u,85.6
p1082uce-12680u,85.6
p946uce-1236u,85.6
p934uce-1234u,85.6
p890uce-12228u,85.6
p873uce-1220u,85.6
p840uce-12111u,85.6
p300uce-10768u,85.6
p289uce-10743u,85.6
p151uce-10384u,85.6
p43uce-10096u,85.6
p1278uce-930u,85.3
p813uce-12063u,85.3
p333uce-10864u,85.3
p284uce-10725u,85.3
p1201uce-1510u,84.9
p1107uce-12756u,84.9
p945uce-12358u,84.9
p540uce-11357u,84.9
p441uce-11103u,84.9
p346uce-10896u,84.9
p167uce-10413u,84.9
p64uce-10156u,84.9
p35uce-10073u,84.9
p16uce-10029u,84.9
p1186uce-1379u,84.6
p1094uce-12713u,84.6
p549uce-11383u,84.6
p414uce-11055u,84.6
p351uce-10901u,84.6
p339uce-10881u,84.6
p327uce-10852u,84.6
p255uce-1064u,84.6
p219uce-10534u,84.6
p18uce-10033u,84.6
p1271uce-842u,84.2
p1198uce-150u,84.2
p908uce-12266u,84.2
p769uce-11978u,84.2
p660uce-11716u,84.2
p409uce-11042u,84.2
p273uce-10697u,84.2
p258uce-10646u,84.2
p249uce-10616u,84.2
p246uce-10608u,84.2
p240uce-10593u,84.2
p234uce-10575u,84.2
p190uce-10467u,84.2
p144uce-10370u,84.2
p2uce-10001u,84.2
p1244uce-598u,83.9
p1216uce-253u,83.9
p1055uce-12603u,83.9
p1027uce-12557u,83.9
p964uce-12393u,83.9
p861uce-12182u,83.9
p676uce-11742u,83.9
p391uce-11009u,83.9
p330uce-10856u,83.9
p200uce-10482u,83.9
p175uce-10432u,83.9
p135uce-10356u,83.9
p1160uce-12908u,83.6
p999uce-12478u,83.6
p868uce-12193u,83.6
p785uce-12003u,83.6
p87uce-10231u,83.6
p30uce-10061u,83.6
p1102uce-12747u,83.2
p1052uce-12597u,83.2
p963uce-12392u,83.2
p770uce-11981u,83.2
p677uce-11747u,83.2
p592uce-11489u,83.2
p574uce-11448u,83.2
p546uce-11380u,83.2
p541uce-11358u,83.2
p437uce-11094u,83.2
p207uce-10499u,83.2
p140uce-10362u,83.2
p72uce-10187u,83.2
p1138uce-12852u,82.9
p1137uce-12847u,82.9
p1108uce-12757u,82.9
p965uce-12394u,82.9
p878uce-12212u,82.9
p855uce-12145u,82.9
p643uce-11673u,82.9
p470uce-11172u,82.9
p426uce-11077u,82.9
p400uce-11027u,82.9
p326uce-10842u,82.9
p96uce-10249u,82.9
p1175uce-12989u,82.5
p1109uce-12758u,82.5
p1064uce-12630u,82.5
p1032uce-12566u,82.5
p996uce-12474u,82.5
p974uce-12420u,82.5
p775uce-11987u,82.5
p751uce-11937u,82.5
p560uce-11410u,82.5
p411uce-11046u,82.5
p209uce-10501u,82.5
p161uce-10401u,82.5
