Species,BranchLength,PercOfMiss,Position
ACAN_0001G,0.003862178,18.341301,Outgroup
APH_0645G,0.011383774,14.837123,Outgroup
APH_3004G,0.016925299,16.089625,Outgroup
APH_3056G,0.010047149,15.849184,Outgroup
AUMS_10968G,0.011016002,15.772357,Outgroup
EUPA_0001G,0.001201014,39.853442,Ingroup
EUPA_0002G,0.001076938,33.551011,Ingroup
EUPA_0003G,0.002627291,19.572713,Ingroup
LASI_0001G,0.00164619,18.790631,Ingroup
LASI_0002G,0.001756493,22.255391,Ingroup
NHAN_0001G,0.000524244,19.099949,Ingroup
NHAN_0002G,0.000965559,77.377294,Ingroup
NHAN_0003G,0.000890819,18.749205,Ingroup
PROS_0001G,0.000434513,25.499712,Ingroup
PROS_0002G,0.000316224,22.48035,Ingroup
PROS_0003G,0.003305774,83.427066,Ingroup
PROS_0004G,0.006504756,75.814637,Ingroup
PTER_0002G,0.005120099,83.257678,Ingroup
PTER_0003G,0.004231589,92.933396,Ingroup
PTER_0004G,0.000329391,18.420806,Ingroup
PTER_0005G,0.000388968,17.531518,Ingroup
PTER_0006G,0.000431492,18.728868,Ingroup
PTER_0007G,0.00043684,18.079519,Ingroup
PTER_0009G,0.001113955,18.092742,Ingroup
VITA_0001G,0.000810919,32.256161,Ingroup
VITA_0002G,0.000432516,22.20727,Ingroup
VITA_0004G,0.000431796,17.270907,Ingroup
VITA_0005G,0.001145873,55.428124,Ingroup
VITA_0007G,0.000431977,40.174309,Ingroup
VITA_0008G,0.000378614,21.720697,Ingroup
VITA_0009G,0.000286402,17.626757,Ingroup
VITA_0010G,0.000731273,18.776572,Ingroup
VITA_0011G,0.001199727,68.596136,Ingroup
VITA_0013G,0.00024098,17.83958,Ingroup
VITA_0014G,0.000365359,19.223392,Ingroup
VITA_0015G,0.000678167,71.600435,Ingroup
VITA_0016G,0.000656607,58.790029,Ingroup
VITA_0017G,0.000919753,17.481053,Ingroup
VITA_0018G,0.000558051,18.119774,Ingroup
VITA_0019G,0.000529879,18.04144,Ingroup
VITA_0020G,0.000638903,17.252245,Ingroup
VITA_0021G,0.000369735,17.498795,Ingroup
VITA_0022G,0.000181026,28.761524,Ingroup
VITA_0023G,0.00048137,18.836493,Ingroup
VITA_0024G,0.000206031,18.192165,Ingroup
VITA_0025G,0.000223665,17.713041,Ingroup
VITA_0026G,0.000424708,19.877428,Ingroup
VITA_0027G,0.000404588,35.843945,Ingroup
VITA_0028G,0.000431147,17.963022,Ingroup
VITA_0029G,0.000750391,72.961566,Ingroup
VITA_0030G,0.000637177,18.882188,Ingroup
VITA_0032G,0.000618291,26.33795,Ingroup
VITA_0034G,0.000187519,56.927762,Ingroup
VITA_0035G,0.000379354,18.097596,Ingroup
VITA_0036G,0.000633072,17.872972,Ingroup
VITA_0037G,0.000383109,18.368332,Ingroup
VITA_0038G,0.000476449,18.177352,Ingroup
VITA_0039G,0.000445068,62.296466,Ingroup
VITA_0040G,0.001998969,75.610015,Ingroup
VITA_0042G,0.000535452,19.29888,Ingroup
VITA_0043G,0.004524237,14.475332,Outgroup
VITA_0044G,0.000413178,18.125883,Ingroup
VITA_0045G,0.000569244,20.777094,Ingroup
