Locus,CompletenessValue
uce_200961u,100
uce_2009538u,100
uce_2009419u,100
uce_2009276u,100
uce_2009227u,100
uce_2009147u,100
uce_2008693u,100
uce_2008692u,100
uce_2008551u,100
uce_2008254u,100
uce_2008250u,100
uce_2008072u,100
uce_2007884u,100
uce_2007828u,100
uce_2007805u,100
uce_2007759u,100
uce_2007394u,100
uce_200729u,100
uce_2007089u,100
uce_2006557u,100
uce_2006531u,100
uce_2006412u,100
uce_2006157u,100
uce_2006153u,100
uce_200575u,100
uce_2005277u,100
uce_2004240u,100
uce_200410u,100
uce_2003735u,100
uce_2003718u,100
uce_2003369u,100
uce_2003065u,100
uce_2002757u,100
uce_2002661u,100
uce_200250u,100
uce_2002303u,100
uce_200230u,100
uce_2001970u,100
uce_2001402u,100
uce_2001127u,100
uce_200112u,100
uce_2001119u,100
uce_200111u,100
uce_20010328u,100
uce_20010315u,100
uce_20010299u,100
uce_2009730u,98.4
uce_200971u,98.4
uce_2009708u,98.4
uce_2009701u,98.4
uce_2009693u,98.4
uce_2009684u,98.4
uce_2009683u,98.4
uce_2009681u,98.4
uce_2009666u,98.4
uce_2009649u,98.4
uce_2009609u,98.4
uce_2009595u,98.4
uce_2009575u,98.4
uce_2009519u,98.4
uce_2009511u,98.4
uce_2009490u,98.4
uce_2009307u,98.4
uce_2009224u,98.4
uce_2009209u,98.4
uce_2009164u,98.4
uce_2009129u,98.4
uce_2008904u,98.4
uce_2008876u,98.4
uce_2008856u,98.4
uce_2008854u,98.4
uce_2008730u,98.4
uce_2008729u,98.4
uce_2008696u,98.4
uce_2008681u,98.4
uce_2008605u,98.4
uce_200857u,98.4
uce_2008565u,98.4
uce_200856u,98.4
uce_2008492u,98.4
uce_2008468u,98.4
uce_2008459u,98.4
uce_2008224u,98.4
uce_200808u,98.4
uce_2008u,98.4
uce_2007997u,98.4
uce_2007906u,98.4
uce_200789u,98.4
uce_2007774u,98.4
uce_2007761u,98.4
uce_2007707u,98.4
uce_2007677u,98.4
uce_2007660u,98.4
uce_2007504u,98.4
uce_2007287u,98.4
uce_2007256u,98.4
uce_2007085u,98.4
uce_2007083u,98.4
uce_2006702u,98.4
uce_2006579u,98.4
uce_2006563u,98.4
uce_2006549u,98.4
uce_2006503u,98.4
uce_2006443u,98.4
uce_2006442u,98.4
uce_2006370u,98.4
uce_2006343u,98.4
uce_2006280u,98.4
uce_2006262u,98.4
uce_2006259u,98.4
uce_2006115u,98.4
uce_2006112u,98.4
uce_200607u,98.4
uce_2006016u,98.4
uce_2005935u,98.4
uce_2005798u,98.4
uce_2005793u,98.4
uce_2005791u,98.4
uce_2005773u,98.4
uce_2005731u,98.4
uce_2005700u,98.4
uce_200570u,98.4
uce_2005636u,98.4
uce_2005609u,98.4
uce_2005573u,98.4
uce_2005489u,98.4
uce_2005439u,98.4
uce_2005342u,98.4
uce_2005195u,98.4
uce_2005027u,98.4
uce_2005013u,98.4
uce_2004882u,98.4
uce_2004842u,98.4
uce_2004797u,98.4
uce_2004732u,98.4
uce_2004661u,98.4
uce_200466u,98.4
uce_2004659u,98.4
uce_2004652u,98.4
uce_2004635u,98.4
uce_2004621u,98.4
uce_2004574u,98.4
uce_2004572u,98.4
uce_2004538u,98.4
uce_2004492u,98.4
uce_2004447u,98.4
uce_2004428u,98.4
uce_2004423u,98.4
uce_2004265u,98.4
uce_2004133u,98.4
uce_2004011u,98.4
uce_200396u,98.4
uce_2003920u,98.4
uce_2003862u,98.4
uce_2003844u,98.4
uce_2003742u,98.4
uce_2003692u,98.4
uce_2003582u,98.4
uce_2003543u,98.4
uce_2003512u,98.4
uce_2003499u,98.4
uce_2003476u,98.4
uce_2003428u,98.4
uce_2003394u,98.4
uce_2003376u,98.4
uce_2003312u,98.4
uce_200331u,98.4
uce_2003300u,98.4
uce_2003290u,98.4
uce_2003201u,98.4
uce_2003197u,98.4
uce_2003153u,98.4
uce_2003152u,98.4
uce_2003026u,98.4
uce_2002932u,98.4
uce_2002926u,98.4
uce_2002817u,98.4
uce_2002767u,98.4
uce_2002763u,98.4
uce_2002727u,98.4
uce_2002722u,98.4
uce_2002702u,98.4
uce_2002560u,98.4
uce_2002542u,98.4
uce_2002189u,98.4
uce_2002139u,98.4
uce_2002114u,98.4
uce_2002073u,98.4
uce_2001974u,98.4
uce_2001964u,98.4
uce_2001936u,98.4
uce_2001920u,98.4
uce_2001731u,98.4
uce_2001679u,98.4
uce_2001670u,98.4
uce_2001647u,98.4
uce_2001646u,98.4
uce_2001630u,98.4
uce_2001598u,98.4
uce_2001520u,98.4
uce_2001502u,98.4
uce_2001483u,98.4
uce_2001373u,98.4
uce_200134u,98.4
uce_2001272u,98.4
uce_200118u,98.4
uce_200117u,98.4
uce_200110u,98.4
uce_200107u,98.4
uce_2001069u,98.4
uce_200106u,98.4
uce_20010336u,98.4
uce_20010335u,98.4
uce_20010332u,98.4
uce_20010331u,98.4
uce_20010326u,98.4
uce_20010314u,98.4
uce_20010310u,98.4
uce_2001020u,98.4
uce_2001018u,98.4
uce_20010148u,98.4
uce_2009901u,96.8
uce_2009897u,96.8
uce_2009754u,96.8
uce_2009603u,96.8
uce_2009564u,96.8
uce_2009537u,96.8
uce_2009439u,96.8
uce_2009396u,96.8
uce_2009363u,96.8
uce_2009314u,96.8
uce_2009248u,96.8
uce_2009233u,96.8
uce_2009189u,96.8
uce_2009188u,96.8
uce_2009128u,96.8
uce_2009102u,96.8
uce_200907u,96.8
uce_2009049u,96.8
uce_2009018u,96.8
uce_2008996u,96.8
uce_2008975u,96.8
uce_200897u,96.8
uce_2008965u,96.8
uce_2008943u,96.8
uce_2008937u,96.8
uce_2008935u,96.8
uce_2008919u,96.8
uce_2008918u,96.8
uce_2008877u,96.8
uce_2008832u,96.8
uce_2008808u,96.8
uce_2008785u,96.8
uce_2008741u,96.8
uce_2008739u,96.8
uce_2008734u,96.8
uce_2008695u,96.8
uce_2008694u,96.8
uce_2008685u,96.8
uce_2008675u,96.8
uce_2008646u,96.8
uce_2008645u,96.8
uce_2008644u,96.8
uce_2008635u,96.8
uce_2008513u,96.8
uce_200851u,96.8
uce_2008504u,96.8
uce_200850u,96.8
uce_200847u,96.8
uce_2008467u,96.8
uce_200841u,96.8
uce_2008327u,96.8
uce_200830u,96.8
uce_2008247u,96.8
uce_2008237u,96.8
uce_2008235u,96.8
uce_2008232u,96.8
uce_2008230u,96.8
uce_2008210u,96.8
uce_2008109u,96.8
uce_2008080u,96.8
uce_2008073u,96.8
uce_2008061u,96.8
uce_2008036u,96.8
uce_200794u,96.8
uce_2007926u,96.8
uce_2007908u,96.8
uce_2007897u,96.8
uce_200788u,96.8
uce_2007775u,96.8
uce_2007773u,96.8
uce_2007762u,96.8
uce_2007756u,96.8
uce_2007753u,96.8
uce_2007744u,96.8
uce_2007742u,96.8
uce_2007741u,96.8
uce_2007694u,96.8
uce_2007690u,96.8
uce_2007618u,96.8
uce_2007614u,96.8
uce_2007596u,96.8
uce_2007587u,96.8
uce_2007575u,96.8
uce_2007529u,96.8
uce_2007506u,96.8
uce_2007458u,96.8
uce_2007409u,96.8
uce_2007395u,96.8
uce_2007286u,96.8
uce_2007257u,96.8
uce_2007255u,96.8
uce_200724u,96.8
uce_2007197u,96.8
uce_2007155u,96.8
uce_2007133u,96.8
uce_2006958u,96.8
uce_2006946u,96.8
uce_2006928u,96.8
uce_2006889u,96.8
uce_2006833u,96.8
uce_2006829u,96.8
uce_2006828u,96.8
uce_2006827u,96.8
uce_200676u,96.8
uce_2006748u,96.8
uce_2006706u,96.8
uce_2006656u,96.8
uce_2006607u,96.8
uce_2006599u,96.8
uce_2006594u,96.8
uce_2006586u,96.8
uce_2006577u,96.8
uce_2006528u,96.8
uce_2006512u,96.8
uce_2006459u,96.8
uce_2006448u,96.8
uce_2006411u,96.8
