Locus,CompletenessValue
uce-2430,91
uce-22423,90
uce-18450,88
uce-7584,87
uce-4273,86
uce-15797,86
uce-5599,85
uce-382,85
uce-22421,85
uce-21744,85
uce-3174,84
uce-18476,84
uce-15795,84
uce-13246,84
uce-24172,83
uce-23620,83
uce-16555,83
uce-14708,83
uce-3677,82
uce-306,82
uce-23523,82
uce-20770,82
uce-14566,82
uce-11428,82
uce-10951,82
uce-10950,82
uce-20437,81
uce-18750,81
uce-13548,81
uce-12308,81
uce-11613,81
uce-6803,80
uce-20683,80
uce-19873,80
uce-19627,80
uce-1799,80
uce-15621,80
uce-6838,79
uce-6322,79
uce-4898,79
uce-4218,79
uce-3878,79
uce-2563,79
uce-24949,79
uce-23319,79
uce-23074,79
uce-22372,79
uce-19118,79
uce-1864,79
uce-15568,79
uce-12548,79
uce-1124,79
uce-11049,79
uce-9813,78
uce-8702,78
uce-8701,78
uce-37,78
uce-22084,78
uce-18602,78
uce-17436,78
uce-13326,78
uce-11038,78
uce-9794,77
uce-9783,77
uce-8419,77
uce-7583,77
uce-6424,77
uce-59,77
uce-539,77
uce-21466,77
uce-19432,77
uce-19063,77
uce-17322,77
uce-17321,77
uce-17197,77
uce-16640,77
uce-16433,77
uce-14972,77
uce-14029,77
uce-11498,77
uce-102,77
uce-9446,76
uce-6760,76
uce-5766,76
uce-5502,76
uce-509,76
uce-4772,76
uce-471,76
uce-4706,76
uce-2436,76
uce-23884,76
uce-22538,76
uce-21287,76
uce-20786,76
uce-17602,76
uce-16708,76
uce-16043,76
uce-1500,76
uce-9629,75
uce-9616,75
uce-7339,75
uce-4228,75
uce-3859,75
uce-3668,75
uce-2107,75
uce-19322,75
uce-19133,75
uce-17430,75
uce-15920,75
uce-13276,75
uce-11851,75
uce-9545,74
uce-8607,74
uce-24757,74
uce-23499,74
uce-2335,74
uce-23145,74
uce-22759,74
uce-2106,74
uce-20748,74
uce-20624,74
uce-20095,74
uce-19566,74
uce-19424,74
uce-19268,74
uce-16906,74
uce-16073,74
uce-1513,74
uce-14965,74
uce-12793,74
uce-12496,74
uce-11395,74
uce-11194,74
uce-10790,74
uce-9191,73
uce-8497,73
uce-7820,73
uce-7194,73
uce-718,73
uce-6548,73
uce-6179,73
uce-470,73
uce-431,73
uce-4300,73
uce-4062,73
uce-2980,73
uce-2802,73
uce-24634,73
uce-23857,73
uce-2252,73
uce-21216,73
uce-20618,73
uce-17905,73
uce-17863,73
uce-17150,73
uce-15427,73
uce-14036,73
uce-1325,73
uce-1175,73
uce-9447,72
uce-6537,72
uce-5512,72
uce-4194,72
uce-3573,72
uce-21762,72
uce-21605,72
uce-21025,72
uce-19441,72
uce-17440,72
uce-15851,72
uce-15557,72
uce-15416,72
uce-14695,72
uce-13211,72
uce-12590,72
uce-11209,72
uce-10793,72
uce-1055,72
uce-10380,72
uce-8295,71
uce-624,71
uce-5918,71
uce-4757,71
uce-24998,71
uce-24721,71
uce-22597,71
uce-22021,71
uce-21574,71
uce-21553,71
uce-21472,71
uce-21386,71
uce-21035,71
uce-19130,71
uce-19031,71
uce-18558,71
uce-18356,71
uce-18283,71
uce-1809,71
uce-13410,71
uce-1328,71
uce-13231,71
uce-12979,71
uce-1221,71
uce-1180,71
uce-11781,71
uce-10580,71
uce-10247,71
uce-9262,70
uce-8108,70
uce-6761,70
uce-622,70
uce-4579,70
uce-4077,70
uce-3463,70
uce-3356,70
uce-2894,70
uce-2439,70
uce-24016,70
uce-22795,70
uce-21217,70
uce-20557,70
uce-19778,70
uce-18536,70
uce-17076,70
uce-15996,70
uce-15918,70
uce-15015,70
uce-14862,70
uce-14646,70
uce-1292,70
uce-1249,70
uce-12472,70
uce-12314,70
uce-12051,70
uce-10199,70
uce-9998,69
uce-9785,69
uce-9546,69
uce-9481,69
uce-867,69
uce-6981,69
uce-5454,69
uce-400,69
uce-24874,69
uce-24488,69
uce-22624,69
uce-21628,69
uce-21350,69
uce-20348,69
uce-19773,69
uce-19681,69
uce-19375,69
uce-18168,69
uce-180,69
uce-17856,69
uce-17809,69
uce-1597,69
uce-14471,69
uce-14131,69
uce-11792,69
uce-10252,69
uce-9784,68
uce-971,68
uce-9346,68
uce-7499,68
uce-7122,68
uce-6594,68
uce-6342,68
uce-5930,68
uce-5555,68
uce-4896,68
uce-4865,68
uce-4758,68
uce-3777,68
uce-2758,68
uce-24742,68
uce-23754,68
uce-23416,68
uce-23151,68
uce-22915,68
uce-22591,68
uce-21211,68
uce-21026,68
uce-20037,68
uce-19928,68
uce-19638,68
uce-19479,68
uce-18346,68
uce-18075,68
uce-17682,68
uce-17435,68
uce-1741,68
uce-16634,68
uce-14846,68
uce-13918,68
uce-12764,68
uce-11529,68
uce-10568,68
uce-9920,67
uce-9080,67
uce-8736,67
uce-6329,67
uce-5588,67
uce-4803,67
uce-3659,67
uce-24708,67
uce-22537,67
uce-21846,67
uce-21038,67
uce-18813,67
uce-18292,67
uce-17911,67
uce-16967,67
uce-16181,67
uce-14608,67
uce-11873,67
uce-11583,67
uce-10361,67
uce-6924,66
uce-6872,66
uce-5706,66
uce-5207,66
uce-4249,66
uce-4226,66
uce-4056,66
uce-3334,66
uce-3288,66
uce-2903,66
uce-24546,66
uce-23616,66
uce-21157,66
uce-21063,66
uce-20580,66
uce-20252,66
uce-15984,66
uce-15951,66
uce-15659,66
uce-1559,66
uce-15435,66
uce-15366,66
uce-14611,66
uce-14251,66
uce-1323,66
uce-12639,66
uce-10064,66
uce-9822,65
uce-8527,65
uce-821,65
uce-5702,65
uce-4802,65
uce-4446,65
uce-4315,65
uce-4261,65
uce-24543,65
uce-24100,65
uce-23910,65
uce-2208,65
uce-21960,65
uce-20911,65
uce-2028,65
uce-19868,65
uce-19775,65
uce-19637,65
uce-19436,65
uce-1908,65
uce-18867,65
uce-17802,65
uce-1772,65
uce-17549,65
uce-15359,65
uce-12973,65
uce-10296,65
uce-8361,64
uce-8063,64
uce-6557,64
uce-6556,64
uce-6533,64
uce-6047,64
uce-3822,64
uce-24828,64
uce-23906,64
uce-23254,64
uce-22703,64
uce-20736,64
uce-19345,64
uce-19128,64
uce-17621,64
uce-1587,64
uce-14791,64
uce-14226,64
uce-13575,64
uce-1000,64
uce-7921,63
uce-4177,63
uce-24847,63
uce-24410,63
uce-23500,63
uce-23439,63
uce-21416,63
uce-1849,63
uce-15070,63
uce-14871,63
uce-14153,63
uce-11256,63
uce-11170,63
uce-10355,63
uce-7359,62
uce-5586,62
uce-4980,62
uce-24453,62
uce-2333,62
uce-20872,62
uce-18196,62
uce-18195,62
uce-17924,62
uce-16394,62
uce-15997,62
uce-14470,62
uce-14313,62
