Locus,CompletenessValue
uce4789u,88.1
uce1042u,85.6
uce1272u,83.8
uce2658u,83.1
uce3747u,82.5
uce3524u,81.9
uce589u,81.2
uce4842u,80.6
uce4726u,80.6
uce3753u,80.6
uce2143u,80
uce4479u,79.4
uce3370u,79.4
uce364u,79.4
uce1421u,79.4
uce3075u,78.8
uce1423u,78.8
uce3758u,78.8
uce4680u,78.8
uce3041u,78.8
uce713u,78.8
uce1732u,78.8
uce4825u,78.8
uce632u,78.8
uce1863u,78.8
uce4319u,78.1
uce4350u,78.1
uce4760u,77.5
uce4392u,77.5
uce2747u,77.5
uce2832u,77.5
uce1989u,77.5
uce4540u,77.5
uce2884u,77.5
uce710u,76.9
uce2860u,76.9
uce3681u,76.9
uce4530u,76.9
uce4472u,76.9
uce4578u,76.2
uce2345u,76.2
uce4148u,76.2
uce967u,76.2
uce786u,76.2
uce2645u,76.2
uce3296u,76.2
uce2647u,76.2
uce2159u,75.6
uce596u,75.6
uce2692u,75.6
uce191u,75.6
uce1175u,75.6
uce3108u,75.6
uce966u,75.6
uce1387u,75.6
uce2985u,75.6
uce4088u,75.6
uce1637u,75.6
uce680u,75.6
uce1735u,75.6
uce4292u,75
uce4312u,75
uce3374u,75
uce3769u,75
uce2156u,75
uce4027u,75
uce706u,74.4
uce365u,74.4
uce2807u,74.4
uce1142u,74.4
uce4411u,74.4
uce3456u,74.4
uce3803u,74.4
uce3595u,73.8
uce212u,73.8
uce1361u,73.8
uce68u,73.8
uce4052u,73.8
uce1631u,73.8
uce114u,73.8
uce2770u,73.8
uce344u,73.8
uce1484u,73.1
uce623u,73.1
uce3731u,73.1
uce3594u,73.1
uce2965u,73.1
uce3226u,73.1
uce2881u,73.1
uce2005u,73.1
uce1463u,73.1
uce3889u,72.5
uce3082u,72.5
uce3199u,72.5
uce778u,72.5
uce308u,72.5
uce1222u,72.5
uce3076u,71.9
uce915u,71.9
uce886u,71.9
uce1568u,71.9
uce3534u,71.9
uce2344u,71.9
uce3668u,71.9
uce48u,71.9
uce1959u,71.9
uce2161u,71.9
uce3920u,71.9
uce2848u,71.2
uce3784u,71.2
uce3078u,71.2
uce2217u,71.2
uce1252u,71.2
uce3773u,71.2
uce883u,71.2
uce1579u,71.2
uce2981u,71.2
uce115u,71.2
uce4809u,70.6
uce2927u,70.6
uce1381u,70.6
uce2840u,70.6
uce256u,70.6
uce2528u,70.6
uce1466u,70.6
uce2091u,70.6
uce162u,70.6
uce2227u,70.6
uce2983u,70.6
uce3445u,70.6
uce3277u,70.6
uce2693u,70.6
uce3317u,70.6
uce2216u,70.6
uce3180u,70
uce2089u,70
uce3478u,70
uce4701u,70
uce327u,70
uce73u,70
uce1900u,70
uce3284u,70
uce704u,70
uce2909u,70
uce2932u,70
uce938u,69.4
uce3761u,69.4
uce4704u,69.4
uce1716u,69.4
uce1912u,69.4
uce3508u,69.4
uce3062u,69.4
uce3225u,69.4
uce2242u,69.4
